Candidate,Constituency,Party,Criminal Case(s),Education,Total Assets,Liabilities
Godam Nagesh,ADILABAD,TRS,0,Post Graduate,Rs 10378857 ,Rs 148784 
Dr. Ramshankar Katheria,AGRA,BJP, 21 ,Doctorate,Rs 14634885 ,Rs 4035000 
Paresh Dahyalal Rawal,AHMEDABAD EAST,BJP,0,12th Pass,Rs 795211576 ,Rs 81472461 
Dr. Solanki Kiritbhai Premjibhai,AHMEDABAD WEST,BJP,0,Post Graduate,Rs 34085266 ,Rs 208007 
Gandhi Dilipkumar Mansukhlal,AHMEDNAGAR,BJP, 16 ,10th Pass,Rs 65316725 ,Rs 34176876 
Sanwar Lal Jat,AJMER,BJP,0,Doctorate,Rs 18064656 ,Rs 0 
Devendra Singh Urf Bhole Singh,AKBARPUR,BJP,0,10th Pass,Rs 28546617 ,Rs 559965 
Dhotre Sanjay Shyamrao,AKOLA,BJP, 3 ,Graduate Professional,Rs 48501735 ,Rs 6928458 
K C Venugopal,ALAPPUZHA,INC,0,Post Graduate,Rs 12856075 ,Rs 456010 
P.K.Biju,ALATHUR,CPI(M),0,Post Graduate,Rs 3231047 ,Rs 341749 
Satish Kumar,ALIGARH,BJP, 1 ,10th Pass,Rs 52180006 ,Rs 754800 
Dasrath Tirkey,ALIPURDUARS,AITC,0,Graduate,Rs 3550353 ,Rs 293909 
Shyama Charan Gupta,ALLAHABAD,BJP,0,Graduate Professional,Rs 472851707 ,Rs 0 
Ajay Tamta,ALMORA,BJP,0,12th Pass,Rs 6366653 ,Rs 2757846 
Mahant Chand Nath Yogi,ALWAR,BJP,0,Graduate,Rs 199653 ,Rs 0 
Pandula Ravindra Babu,AMALAPURAM,TDP,0,Graduate Professional,Rs 27131000 ,Rs 3000000 
Rattan Lal Kataria,AMBALA,BJP,0,Post Graduate,Rs 42150634 ,Rs 843229 
Hariom,AMBEDKAR NAGAR,BJP,0,Post Graduate,Rs 15318114 ,Rs 0 
Rahul Gandhi,AMETHI,INC,0,Post Graduate,Rs 94006549 ,Rs 1800000 
Adsul Anandrao Vithoba,AMRAVATI,SHS, 1 ,Graduate,Rs 32596257 ,Rs 1587104 
Kachhadiya Naranbhai Bhikhabhai,AMRELI,BJP, 2 ,12th Pass,Rs 34164801 ,Rs 4971590 
Captain Amarinder Singh,AMRITSAR,INC, 3 ,Graduate,Rs 863564071 ,Rs 4853456 
Kanwar Singh Tanwar,AMROHA,BJP,0,5th Pass,Rs 1788430770 ,Rs 4036151 
Muttamsetti Srinivasa Rao,ANAKAPALLE,TDP, 1 ,Illiterate,Rs 213294327 ,Rs 64899193 
Patel Dilipbhai Manibhai,ANAND,BJP, 4 ,10th Pass,Rs 75998610 ,Rs 7632620 
Prem Singh Chandumajra,ANANDPUR SAHIB,SAD,0,Post Graduate,Rs 141599902 ,Rs 2248200 
Jutur Chinna Reddy Divakar Reddy,ANANTAPUR,TDP,0,12th Pass,Rs 226481020 ,Rs 3265000 
Bishnu Pada Ray,ANDAMAN & NICOBAR ISLANDS,BJP, 1 ,Graduate,Rs 5658980 ,Rs 175115 
Dharmendra Kumar,AONLA,BJP,0,10th Pass,Rs 5364652 ,Rs 0 
Hari G,ARAKKONAM,AIADMK, 4 ,Post Graduate,Rs 32966706 ,Rs 0 
Kothapalli Geetha,ARAKU,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,Rs 65147467 ,Rs 43261606 
Aparupa Poddar (Afrin Ali),ARAMBAG,AITC,0,Post Graduate,Rs 3271869 ,Rs 200000 
V.Elumalai,ARANI,AIADMK,0,Graduate Professional,Rs 70492462 ,Rs 25000 
Raj Kumar Singh,ARRAH,BJP,0,Graduate Professional,Rs 48403293 ,Rs 0 
Ninong Ering,ARUNACHAL EAST,INC,0,Graduate,Rs 88065000 ,Rs 0 
Kiren Rijiju,ARUNACHAL WEST,BJP,0,Graduate Professional,Rs 12539868 ,Rs 475000 
Babul Supriya Boral (Babul Supriyo),ASANSOL,BJP,0,Graduate,Rs 75289537 ,Rs 14748456 
Ladu Kishore Swain,ASKA,BJD,0,Graduate,Rs 3488390 ,Rs 25000 
A Sampath,ATTINGAL,CPI(M), 1 ,Doctorate,Rs 17791149 ,Rs 1421392 
Chandrakant Bhaurao Khaire,AURANGABAD,SHS, 8 ,12th Pass,Rs 90614560 ,Rs 20307244 
Sushil Kumar Singh,AURANGABAD,BJP, 5 ,Post Graduate,Rs 127845854 ,Rs 7321626 
Biren Singh Engti,AUTONOMOUS DISTRICT,INC,0,Post Graduate,Rs 35367390 ,Rs 0 
Mulayam Singh Yadav,AZAMGARH,SP,0,Post Graduate,Rs 159671544 ,Rs 0 
Dharmandra Yadav,BADAUN,SP,0,Post Graduate,Rs 24987715 ,Rs 8950291 
P.C. Gaddigoudar,BAGALKOT,BJP,0,Graduate Professional,Rs 36362500 ,Rs 9589199 
Dr. Satyapal Singh,BAGHPAT,BJP,0,Doctorate,Rs 67402076 ,Rs 352000 
Adhir Ranjan Chowdhury,BAHARAMPUR,INC, 16 ,10th Pass,Rs 81465854 ,Rs 0 
Savitri Bai Foole,BAHRAICH,BJP, 8 ,Graduate,Rs 1121491 ,Rs 538145 
Bodhsingh Bhagat,BALAGHAT,BJP,0,Graduate,Rs 24959436 ,Rs 1393732 
Rabindra Kumar Jena,BALASORE,BJD,0,Post Graduate,Rs 570139716 ,Rs 55893020 
Bharat Singh,BALLIA,BJP, 3 ,Graduate,Rs 21130089 ,Rs 1102553 
Arpita Ghosh,BALURGHAT,AITC,0,Graduate,Rs 544790 ,Rs 0 
Chaudhry Haribhai Parthibhai,BANASKANTHA,BJP,0,Graduate,Rs 15773564 ,Rs 0 
Bhairon Prasad Mishra,BANDA,BJP, 2 ,12th Pass,Rs 50034910 ,Rs 600000 
P.C. Mohan,BANGALORE CENTRAL,BJP, 2 ,12th Pass,Rs 475796999 ,Rs 261111285 
D.V. Sadananda Gowda,BANGALORE NORTH,BJP,0,Graduate Professional,Rs 98888874 ,Rs 37020152 
D.K.Suresh,BANGALORE RURAL,INC, 8 ,12th Pass,Rs 858713138 ,Rs 184854756 
Ananth Kumar,BANGALORE SOUTH,BJP,0,Graduate Professional,Rs 45224706 ,Rs 2883233 
Kapil Krishna Thakur,BANGAON,AITC,0,Graduate,Rs 9667890 ,Rs 0 
Jaiprakash Narayan Yadav,BANKA,RJD, 2 ,Post Graduate,Rs 27846274 ,Rs 791539 
Sreemati Dev Varma (Moon Moon Sen),BANKURA,AITC,0,Post Graduate,Rs 15314000 ,Rs 1013000 
Kamlesh Paswan,BANSGAON,BJP,0,Graduate,Rs 101640625 ,Rs 14568500 
Manshankar Ninama,BANSWARA,BJP,0,8th Pass,Rs 4040285 ,Rs 870146 
Malyadri Sriram,BAPATLA,TDP,0,Post Graduate,Rs 45359744 ,Rs 0 
Priyanka Singh Rawat,BARABANKI,BJP,0,Post Graduate,Rs 13175500 ,Rs 1450000 
Supriya Sule,BARAMATI,NCP,0,Graduate,Rs 1139090851 ,Rs 0 
Muzaffar Hussain Baig,BARAMULLA,JKPDP,0,Post Graduate,Rs 200707183 ,Rs 11401285 
Dr. Kakali Ghoshdostidar,BARASAT,AITC,0,Graduate Professional,Rs 31254311 ,Rs 1168220 
Sunil Kumar Mondal,BARDHAMAN PURBA,AITC,0,Graduate Professional,Rs 11841000 ,Rs 1420000 
Mamtaz Sanghamita,BARDHAMAN-DURGAPUR,AITC,0,Post Graduate,Rs 107680000 ,Rs 0 
Parbhubhai Nagarbhai Vasava,BARDOLI,BJP, 1 ,Others,Rs 15909957 ,Rs 1353400 
