Candidate,Constituency,Party,Criminal Case(s),Education,Total Assets,Liabilities
Santosh Gangwar,BAREILLY,BJP,0,Graduate Professional,Rs 38602862 ,Rs 1777215 
Prabhas Kumar Singh,BARGARH,BJD,0,Doctorate,Rs 5786971 ,Rs 670000 
Col. Sona Ram,BARMER,BJP, 1 ,Graduate Professional,Rs 174678454 ,Rs 5584331 
Siraj Uddin Ajmal,BARPETA,AIUDF,0,Graduate,Rs 670806607 ,Rs 0 
Dinesh Trivedi,BARRACKPUR,AITC,0,Post Graduate,Rs 53582340 ,Rs 15661349 
Idris Ali,BASIRHAT,AITC, 9 ,Graduate Professional,Rs 9800277 ,Rs 0 
Dinesh Kashyap,BASTAR,BJP, 1 ,Post Graduate,Rs 16108199 ,Rs 2191216 
Harish Chandra,BASTI,BJP, 2 ,Post Graduate,Rs 5350882 ,Rs 860185 
Harsimrat Kaur Badal,BATHINDA,SAD,0,10th Pass,Rs 1081664910 ,Rs 412634299 
Munde Gopinathrao Pandurang,BEED,BJP, 3 ,Graduate Professional,Rs 380072890 ,Rs 335729817 
Bhola Singh,BEGUSARAI,BJP,0,Doctorate,Rs 25248102 ,Rs 0 
Suresh Angadi,BELGAUM,BJP, 1 ,Graduate Professional,Rs 417003065 ,Rs 366283849 
B Sreeramulu,BELLARY,BJP, 8 ,Graduate,Rs 151392844 ,Rs 4050947 
Sidhant Mohapatra,BERHAMPUR,BJD,0,Graduate,Rs 16462430 ,Rs 1183828 
Jyoti Dhurve,BETUL,BJP, 2 ,Post Graduate,Rs 26232000 ,Rs 1000000 
Virendra Singh,BHADOHI,BJP,0,Graduate,Rs 11531458 ,Rs 791186 
Arjun Charan Sethi,BHADRAK,BJD,0,Post Graduate,Rs 6730000 ,Rs 2424000 
Shailesh Kumar Urph Bulo Mandal,BHAGALPUR,RJD, 1 ,12th Pass,Rs 20216734 ,Rs 0 
Bahadur Singh,BHARATPUR,BJP,0,Literate,Rs 19142363 ,Rs 1333100 
Mansukhbhai Dhanjibhai Vasava,BHARUCH,BJP,0,Post Graduate,Rs 6571062 ,Rs 639000 
Shyal Bhartiben Dhirubhai,BHAVNAGAR,BJP,0,Graduate Professional,Rs 7748925 ,Rs 3072058 
Subhash Chandra Baheria,BHILWARA,BJP,0,Graduate,Rs 142870042 ,Rs 8665902 
Bhagirath Prasad,BHIND,BJP,0,Doctorate,Rs 21240286 ,Rs 3687610 
Kapil Moreshwar Patil,BHIWANDI,BJP,0,Graduate,Rs 363758831 ,Rs 10697367 
Dharambir,BHIWANI-MAHENDRAGARH,BJP,0,Graduate,Rs 50057200 ,Rs 4530000 
Dr. Narsaiah Boora,BHONGIR,TRS,0,Post Graduate,Rs 202983225 ,Rs 13574088 
Alok Sanjar,BHOPAL,BJP,0,Graduate Professional,Rs 14594066 ,Rs 300000 
Prasanna Kumar Patasani,BHUBANESWAR,BJD,0,Post Graduate,Rs 13557443 ,Rs 9590067 
Bhagwanth,BIDAR,BJP,0,Graduate Professional,Rs 56559290 ,Rs 16829000 
Ramesh Jigajinagi,BIJAPUR,BJP, 2 ,Graduate,Rs 89429828 ,Rs 5305043 
Kunwar Bhartendra,BIJNOR,BJP, 2 ,Post Graduate,Rs 24840646 ,Rs 0 
Arjun Ram Meghwal,BIKANER,BJP,0,Post Graduate,Rs 18142863 ,Rs 1216408 
Lakhanlal Sau S/O Kalyan Lal Sahu,BILASPUR,BJP,0,Post Graduate,Rs 8661133 ,Rs 306357 
Satabdi Roy(Banerjee),BIRBHUM,AITC,0,Graduate,Rs 54972174 ,Rs 5478944 
Saumitra Khan,BISHNUPUR,AITC, 1 ,12th Pass,Rs 1197255 ,Rs 0 
Kalikesh Narayan Singh Deo,BOLANGIR,BJD, 2 ,Graduate,Rs 87955818 ,Rs 24410449 
Anupam Hazra,BOLPUR,AITC,0,Doctorate,Rs 4866883 ,Rs 0 
Dr. Bhola Singh,BULANDSHAHR,BJP,0,Graduate,Rs 12577537 ,Rs 0 
Jadhav Prataprao Ganpatrao,BULDHANA,SHS, 2 ,12th Pass,Rs 36033147 ,Rs 684092 
Ashwini Kumar Choubey,BUXAR,BJP,0,Graduate,Rs 22094499 ,Rs 1923552 
Innocent,CHALAKUDY,IND,0,8th Pass,Rs 54474761 ,Rs 1303000 
R. Dhruvanarayana,CHAMARAJANAGAR,INC,0,Post Graduate,Rs 31519950 ,Rs 2605818 
Mahendra Nath,CHANDAULI,BJP,0,Doctorate,Rs 26489505 ,Rs 1114000 
Smt. Kirron Kher,CHANDIGARH,BJP,0,Post Graduate,Rs 335343871 ,Rs 1886187 
Dr. Harsh Vardhan,CHANDNI CHOWK,BJP, 2 ,Post Graduate,Rs 28229308 ,Rs 1780492 
Ahir Hansraj Gangaram,CHANDRAPUR,BJP, 11 ,10th Pass,Rs 15548000 ,Rs 99500 
Sunil Kumar Singh,CHATRA,BJP,0,Post Graduate,Rs 174744806 ,Rs 950052 
S.R. Vijayakumar,CHENNAI CENTRAL,AIADMK,0,Graduate Professional,Rs 13401510 ,Rs 350483 
Venkatesh Babu .T.G,CHENNAI NORTH,AIADMK,0,Post Graduate,Rs 37038275 ,Rs 804032 
Dr. J. Jayavardhan,CHENNAI SOUTH,AIADMK,0,Graduate Professional,Rs 33959072 ,Rs 10981100 
Konda Vishweshwar Reddy,CHEVELLA,TRS,0,Post Graduate,Rs 5286230210 ,Rs 74111133 
Kamal Nath,CHHINDWARA,INC,0,Graduate,Rs 2069080434 ,Rs 51172087 
Rathwa Ramsingbhai Patalbhai,CHHOTA UDAIPUR,BJP,0,Post Graduate,Rs 39769675 ,Rs 9763903 
M.Chandrakasi,CHIDAMBARAM,AIADMK,0,Graduate,Rs 7243646 ,Rs 2020472 
M Veerappa Moily,CHIKKBALLAPUR,INC,0,Graduate Professional,Rs 137366682 ,Rs 39433827 
Prakash Hukkeri,CHIKKODI,INC,0,12th Pass,Rs 75717628 ,Rs 3635650 
B.N.Chandrappa,CHITRADURGA,INC,0,Post Graduate,Rs 48303759 ,Rs 13800000 
Naramalli Sivaprasad,CHITTOOR,TDP,0,Graduate Professional,Rs 14878003 ,Rs 0 
Chandra Prakash,CHITTORGARH,BJP,0,Graduate,Rs 14134693 ,Rs 687284 
Rahul Kaswan,CHURU,BJP,0,Graduate,Rs 25721266 ,Rs 5386104 
Nagarajan P.,COIMBATORE,AIADMK,0,Graduate Professional,Rs 34306545 ,Rs 2235538 
Renuka Sinha,COOCHBEHAR,AITC,0,Graduate Professional,Rs 13017282 ,Rs 0 
A.Arunmozhithevan,CUDDALORE,AIADMK, 9 ,Graduate Professional,Rs 15765250 ,Rs 0 
Bhartruhari Mahatab,CUTTACK,BJD,0,Post Graduate,Rs 88834098 ,Rs 0 
Natubhai G. Patel,DADRA & NAGAR HAVELI,BJP, 5 ,5th Pass,Rs 154760217 ,Rs 62286836 
Bhabhor Jasvantsinh Sumanbhai,DAHOD,BJP,0,Graduate Professional,Rs 19661231 ,Rs 1741547 
Nalin Kumar Katil,DAKSHINA KANNADA,BJP, 1 ,10th Pass,Rs 8789001 ,Rs 1493367 
Patel Lalubhai Babubhai,DAMAN & DIU,BJP,0,8th Pass,Rs 144931238 ,Rs 1234039 
Prahalad Singh Patel,DAMOH,BJP,0,Graduate Professional,Rs 39586235 ,Rs 12429302 
Kirti Azad,DARBHANGA,BJP, 4 ,Graduate,Rs 28531267 ,Rs 431860 
Surendrajeet Singh Ahluwalia,DARJEELING,BJP,0,Graduate Professional,Rs 23377223 ,Rs 443035 
Harish Chandra,DAUSA,BJP,0,Graduate,Rs 60394789 ,Rs 45000 
G.M. Siddeshwara,DAVANAGERE,BJP,0,10th Pass,Rs 232375703 ,Rs 17951455 
Kalraj Mishra,DEORIA,BJP,0,Post Graduate,Rs 55048193 ,Rs 0 
Manohar Untwal,DEWAS,BJP,0,12th Pass,Rs 6336490 ,Rs 1448086 
Pashupati Nath Singh,DHANBAD,BJP, 1 ,Graduate,Rs 24248150 ,Rs 0 
Savitri Thakur,DHAR,BJP,0,10th Pass,Rs 9606464 ,Rs 1582845 
Anbumani Ramadoss,DHARMAPURI,PMK, 8 ,Graduate Professional,Rs 314378451 ,Rs 41941065 
Pralhad Joshi,DHARWAD,BJP, 1 ,Graduate,Rs 41979658 ,Rs 6739989 
Rekha,DHAURAHRA,BJP,0,12th Pass,Rs 10435468 ,Rs 2375000 
Tathagata Satpathy,DHENKANAL,BJD, 7 ,Others,Rs 35434099 ,Rs 0 
Badruddin Ajmal,DHUBRI,AIUDF, 1 ,Post Graduate,Rs 432748134 ,Rs 0 
Bhamare Subhash Ramrao,DHULE,BJP,0,Post Graduate,Rs 125833320 ,Rs 660757 
Abhishek Banerjee,DIAMOND HARBOUR,AITC,0,Post Graduate,Rs 15199272 ,Rs 0 
Rameshwar Teli,DIBRUGARH,BJP,0,10th Pass,Rs 977943 ,Rs 0 
Udhaya Kumar .M,DINDIGUL,AIADMK,0,Post Graduate,Rs 27810000 ,Rs 2800000 
Chavan Harishchandra Deoram,DINDORI,BJP, 1 ,Graduate,Rs 37240147 ,Rs 881137 
Jagdambika Pal,DOMARIYAGANJ,BJP,0,Post Graduate,Rs 17822082 ,Rs 4981555 
Saugata Roy,DUM DUM,AITC,0,Post Graduate,Rs 19452010 ,Rs 2500000 
Shibu Soren,DUMKA,JMM,0,10th Pass,Rs 46760684 ,Rs 1479721 
Tamradwaj Sahu,DURG,INC,0,12th Pass,Rs 21002226 ,Rs 1777720 
Mahesh Giri,EAST DELHI,BJP, 1 ,10th Pass,Rs 5216375 ,Rs 400000 
Venkateswara Rao Maganti,ELURU,TDP, 2 ,10th Pass,Rs 129394729 ,Rs 55294433 
K.V. Thomas,ERNAKULAM,INC,0,Post Graduate,Rs 11848550 ,Rs 522352 
Selvakumara Chinnayan S,ERODE,AIADMK,0,Post Graduate,Rs 47459708 ,Rs 0 
Rajvir Singh,ETAH,BJP,0,Graduate Professional,Rs 251921157 ,Rs 46898091 
Ashok Kumar Doharey,ETAWAH,BJP,0,Graduate,Rs 12252688 ,Rs 0 
Lallu Singh,FAIZABAD,BJP, 1 ,Post Graduate,Rs 15127861 ,Rs 3640964 
Krishan Pal,FARIDABAD,BJP,0,Graduate Professional,Rs 296440144 ,Rs 19707475 
Prof. Sadhu Singh,FARIDKOT,AAP,0,Post Graduate,Rs 5879516 ,Rs 70000 
Mukesh Rajput,FARRUKHABAD,BJP,0,Graduate,Rs 26178100 ,Rs 151603 
Harinder Singh Khalsa,FATEHGARH SAHIB,AAP,0,Post Graduate,Rs 35588128 ,Rs 6700000 
Sadhavi Niranjan Jyoti,FATEHPUR,BJP, 1 ,12th Pass,Rs 3763779 ,Rs 176616 
Babulal,FATEHPUR SIKRI,BJP, 3 ,12th Pass,Rs 73028848 ,Rs 16390000 
Akshay Yadav,FIROZABAD,SP,0,Graduate,Rs 100883304 ,Rs 59377 
Sher Singh Ghubaya,FIROZPUR,SAD,0,10th Pass,Rs 96121057 ,Rs 5133876 
Ashok Mahadeorao Nete,GADCHIROLI-CHIMUR,BJP,0,12th Pass,Rs 12125676 ,Rs 5830550 
Lal Krishna Advani,GANDHINAGAR,BJP, 1 ,Graduate Professional,Rs 75915276 ,Rs 0 
Nihalchand,GANGANAGAR,BJP,0,Graduate,Rs 10861172 ,Rs 1611557 
(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),GARHWAL,BJP,0,Graduate Professional,Rs 44357368 ,Rs 0 
Smt. Bijoya Chakraborty,GAUHATI,BJP,0,Post Graduate,Rs 12574493 ,Rs 0 
Mahesh Sharma,GAUTAM BUDHHA NAGAR,BJP,0,Graduate Professional,Rs 473797545 ,Rs 40905738 
Hari Manjhi,GAYA,BJP, 1 ,8th Pass,Rs 10184120 ,Rs 2000000 
Deepak Adhikari (Dev),GHATAL,AITC,0,10th Pass,Rs 152447159 ,Rs 17493227 
Vijay Kumar Singh,GHAZIABAD,BJP, 2 ,Doctorate,Rs 41137044 ,Rs 2026774 
Manoj Sinha,GHAZIPUR,BJP,0,Graduate Professional,Rs 23376901 ,Rs 118700 
Harinarayan Rajbhar,GHOSI,BJP,0,Literate,Rs 23403964 ,Rs 0 
Ravindra Kumar Pandey,GIRIDIH,BJP,0,Graduate,Rs 73376970 ,Rs 1970628 
Nishikant Dubey,GODDA,BJP, 5 ,Post Graduate,Rs 155633719 ,Rs 0 
Kirti Vardhan Singh,GONDA,BJP,0,Post Graduate,Rs 74738429 ,Rs 9275782 
Janak Ram,GOPALGANJ,BJP, 2 ,Post Graduate,Rs 10582664 ,Rs 1039000 
Mallikarjun Kharge,GULBARGA,INC,0,Graduate Professional,Rs 102220880 ,Rs 7410154 
Jyotiraditya M. Scindia,GUNA,INC,0,Post Graduate,Rs 330888751 ,Rs 795000 
Jayadev Galla,GUNTUR,TDP,0,Graduate,Rs 6830581361 ,Rs 202334283 
Vinod Khanna,GURDASPUR,BJP,0,Graduate,Rs 669343376 ,Rs 12695306 
Inderjit Singh,GURGAON,BJP,0,Graduate Professional,Rs 250698763 ,Rs 0 
Narendra Singh Tomar,GWALIOR,BJP, 1 ,Graduate,Rs 11412622 ,Rs 4531444 
Ram Vilas Paswan,HAJIPUR,LJP, 2 ,Post Graduate,Rs 9642023 ,Rs 0 
Kunwar Pushpendra Singh,HAMIRPUR,BJP, 1 ,Post Graduate,Rs 71265181 ,Rs 2825539 
Anurag Singh Thakur,HAMIRPUR,BJP, 10 ,Graduate,Rs 46535803 ,Rs 2074555 
Anshul Verma,HARDOI,BJP,0,Post Graduate,Rs 30385000 ,Rs 0 
Ramesh Pokhariyal Nishank,HARDWAR,BJP, 1 ,Doctorate,Rs 17917274 ,Rs 1860684 
H.D. Devegowda,HASSAN,JD(S),0,Others,Rs 42721242 ,Rs 8648283 
Rajesh Kumar,HATHRAS,BJP,0,Graduate Professional,Rs 5651457 ,Rs 0 
Raju Shetty,HATKANANGLE,Swabhimani Paksha, 12 ,10th Pass,Rs 9896221 ,Rs 1504152 
Udasi Shivakumar Channabasappa,HAVERI,BJP,0,Graduate,Rs 576693538 ,Rs 54423645 
Jayant Sinha,HAZARIBAGH,BJP,0,Post Graduate,Rs 556754579 ,Rs 86380600 
Kristappa Nimmala,HINDUPUR,TDP, 2 ,Graduate,Rs 35793637 ,Rs 998480 
Rajeev Shankarrao Satav,HINGOLI,INC,0,Graduate Professional,Rs 49681499 ,Rs 584357 
Dushyant Chautala,HISAR,INLD,0,Graduate,Rs 361326990 ,Rs 68744460 
Ratna De,HOOGHLY,AITC,0,Graduate Professional,Rs 18617757 ,Rs 0 
Uday Pratap Singh,HOSHANGABAD,BJP, 1 ,Graduate,Rs 133375092 ,Rs 3775714 
Vijay Sampla,HOSHIARPUR,BJP,0,10th Pass,Rs 15164322 ,Rs 4020543 
Prasun Banerjee,HOWRAH,AITC,0,Graduate,Rs 10041098 ,Rs 0 
Asaduddin Owaisi,HYDERABAD,All India Majlis-E-Ittehadul Muslimeen, 4 ,Graduate Professional,Rs 40611099 ,Rs 14000000 
Adv.Joice George,IDUKKI,IND, 4 ,Post Graduate,Rs 17396207 ,Rs 9417720 
Sumitra Mahajan,INDORE,BJP,0,Post Graduate,Rs 18732234 ,Rs 3539000 
Dr. Thokchom Meinya,INNER MANIPUR,INC,0,Doctorate,Rs 3825200 ,Rs 0 
Rakesh Singh Urf Ghanshyam Singh,JABALPUR,BJP, 1 ,Graduate,Rs 26564889 ,Rs 0 
Sugata Bose,JADAVPUR,AITC,0,Doctorate,Rs 46315770 ,Rs 0 
Kulamani Samal,JAGATSINGHPUR,BJD,0,Graduate Professional,Rs 25158570 ,Rs 0 
Dr. Arun Kumar,JAHANABAD,Rashtriya Lok Samta Party, 1 ,Doctorate,Rs 38846631 ,Rs 1000000 
Ramcharan Bohara,JAIPUR,BJP,0,12th Pass,Rs 135809546 ,Rs 23871000 
Rajyavardhan Singh Rathore,JAIPUR RURAL,BJP,0,Graduate,Rs 83734044 ,Rs 117065 
Rita Tarai,JAJPUR,BJD,0,12th Pass,Rs 1622003 ,Rs 0 
Santokh Singh Chaudhary,JALANDHAR,INC,0,Graduate Professional,Rs 104040531 ,Rs 6194323 
Bhanu Pratap Singh,JALAUN,BJP,0,Post Graduate,Rs 5774068 ,Rs 650000 
Patil Ashok Tapiram,JALGAON,BJP,0,Graduate,Rs 226180395 ,Rs 0 
Danve Raosaheb Dadarao,JALNA,BJP, 4 ,Graduate,Rs 184411862 ,Rs 8534130 
Devji Patel,JALORE,BJP,0,10th Pass,Rs 51846777 ,Rs 12780726 
Bijoy Chandra Barman,JALPAIGURI,AITC,0,Post Graduate,Rs 9396430 ,Rs 797019 
Jugal Kishore,JAMMU,BJP,0,10th Pass,Rs 26824308 ,Rs 300000 
Maadam Poonamben Hematbhai,JAMNAGAR,BJP,0,Graduate,Rs 174372249 ,Rs 62824615 
Bidyut Baran Mahato,JAMSHEDPUR,BJP, 8 ,12th Pass,Rs 16027526 ,Rs 715347 
Chirag Kumar Paswan,JAMUI,LJP,0,12th Pass,Rs 10414470 ,Rs 4458954 
Abhijit Mukherjee,JANGIPUR,INC,0,Graduate Professional,Rs 63014502 ,Rs 15160000 
Smt. Kamla Patle,JANJGIR-CHAMPA,BJP,0,12th Pass,Rs 18224350 ,Rs 0 
Krishna Pratap,JAUNPUR,BJP,0,Doctorate,Rs 40656909 ,Rs 4673939 
Pratima Mondal,JAYNAGAR,AITC,0,Post Graduate,Rs 10614252 ,Rs 0 
Dushyant,JHALAWAR-BARAN,BJP,0,Post Graduate,Rs 239006838 ,Rs 2798782 
Birendra Kumar Chaudhary,JHANJHARPUR,BJP,0,Post Graduate,Rs 5158792 ,Rs 0 
Uma Bharti,JHANSI,BJP, 13 ,5th Pass,Rs 14376218 ,Rs 0 
Uma Saren,JHARGRAM,AITC,0,Graduate Professional,Rs 499646 ,Rs 0 
Santosh Ahlawat,JHUNJHUNU,BJP,0,Post Graduate,Rs 35897048 ,Rs 5704000 
Gajendrasingh Shekhawat,JODHPUR,BJP,0,Post Graduate,Rs 143491494 ,Rs 92198588 
Kamakhya Prasad Tasa,JORHAT,BJP,0,Post Graduate,Rs 1694785 ,Rs 0 
Chudasama Rajeshbhai Naranbhai,JUNAGADH,BJP, 1 ,12th Pass,Rs 7446059 ,Rs 1110690 
Chavda Vinod Lakhmashi,KACHCHH,BJP,0,Graduate Professional,Rs 5618643 ,Rs 411255 
Avinash Reddy Yeduguri Sandinti,KADAPA,Yuvajana Sramika Rythu Congress Party, 1 ,Post Graduate,Rs 70480623 ,Rs 5547296 
Brij Bhusan Sharan Singh,KAISERGANJ,BJP, 2 ,Graduate Professional,Rs 61696767 ,Rs 11556027 
Thota Venkata Narasimham,KAKINADA,TDP,0,Graduate,Rs 17495976 ,Rs 120000 
Arka Keshari Deo,KALAHANDI,BJD,0,Graduate,Rs 69822063 ,Rs 831688 
Gourav Gogoi,KALIABOR,INC,0,Post Graduate,Rs 5473199 ,Rs 1042133 
K. Kamaraj,KALLAKURICHI,AIADMK,0,Post Graduate,Rs 35459256 ,Rs 544099 
Dr.Shrikant Eknath Shinde,KALYAN,SHS,0,Graduate Professional,Rs 998000 ,Rs 0 
Maragatham K,KANCHEEPURAM,AIADMK,0,12th Pass,Rs 18949050 ,Rs 4468600 
Hemendra Chandra Singh,KANDHAMAL,BJD, 2 ,Graduate,Rs 503907437 ,Rs 4786551 
Shanta Kumar,KANGRA,BJP,0,Graduate Professional,Rs 19852104 ,Rs 0 
Vikram Usendi,KANKER,BJP,0,10th Pass,Rs 23376000 ,Rs 869000 
Dimple Yadav,KANNAUJ,SP,0,Graduate,Rs 280516418 ,Rs 6917710 
Radhakrishnan P.,KANNIYAKUMARI,BJP,0,Graduate Professional,Rs 40963269 ,Rs 0 
P K Sreemathi,KANNUR,CPI(M), 8 ,Others,Rs 16939970 ,Rs 0 
Dr.Murli Manohar Joshi,KANPUR,BJP, 1 ,Doctorate,Rs 78410008 ,Rs 0 
Sisir Kumar Adhikari,KANTHI,AITC, 1 ,12th Pass,Rs 19498381 ,Rs 0 
Upendra Kushwaha,KARAKAT,Rashtriya Lok Samta Party, 4 ,Post Graduate,Rs 24829741 ,Rs 823834 
