Candidate,Constituency,Party,Criminal Case(s),Education,Total Assets,Liabilities
Ramesh Rathod,Adilabad,TDP, 2 ,12th Pass,Rs 3410000 ,Rs 815241 
DR. RAMSHANKAR,Agra,BJP,0,Doctorate,Rs 1511000 ,Rs 639959 
HARIN PATHAK,Ahmedabad East,BJP, 2 ,Post Graduate,Rs 14578184 ,Rs 22734 
KIRITBHAI PREMJIBHAI SOLANKI,Ahmedabad West,BJP,0,Graduate Professional,Rs 26122439 ,Rs 709488 
GANDHI DILIPKUMAR MANSUKHLAL,Ahmednagar,BJP, 9 ,10th Pass,Rs 13053391 ,Rs 955351 
SACHIN PILOT,Ajmer,INC,0,Post Graduate,Rs 46489558 ,Rs 0 
RAJARAM PAL,Akbarpur,INC,0,Graduate Professional,Rs 4400000 ,Rs 838099 
DHOTRE SANJAY SHAMRAO,Akola,BJP, 4 ,Graduate Professional,Rs 19335144 ,Rs 2221980 
K C Venugopal,Alappuzha,INC,0,Post Graduate,Rs 3533704 ,Rs 203374 
P K Biju,Alathur,CPM,0,Post Graduate,Rs 461000 ,Rs 0 
RAJ KUMARI CHAUHAN,Aligarh,BSP,0,12th Pass,Rs 34034506 ,Rs 0 
Manohar Tirkey,Alipurduars,RSP,0,10th Pass,Rs 2358725 ,Rs 0 
KUNWAR REWATI RAMAN SINGH ALIAS MANI JI,Allahabad,SP,0,Graduate Professional,Rs 18640164 ,Rs 226475 
PRADEEP TAMTA,Almora,INC,0,Post Graduate,Rs 1590000 ,Rs 0 
JITENDRA SINGH,Alwar,INC,0,Graduate,Rs 67967810 ,Rs 0 
G V Harsha Kumar,Amalapuram,INC, 1 ,Post Graduate,Rs 7289000 ,Rs 1014298 
SELJA,Ambala,INC,0,Post Graduate,Rs 46711386 ,Rs 0 
RAKESH PANDEY,Ambedkar Nagar,BSP, 3 ,8th Pass,Rs 164078904 ,Rs 0 
RAHUL GANDHI,Amethi,INC,0,Post Graduate,Rs 23274706 ,Rs 2335000 
ADSUL ANANDRAO VITHOBA,Amravati,SHS, 1 ,Graduate,Rs 17708418 ,Rs 0 
NARANBHAI BHIKHABHAI KACHHADIYA,Amreli,BJP,0,5th Pass,Rs 4748283 ,Rs 300000 
NAVJOT SINGH SIDHU,Amritsar,BJP, 1 ,Graduate,Rs 145037236 ,Rs 0 
DEVENDRA NAGPAL,Amroha,RLD, 6 ,Graduate,Rs 132425712 ,Rs 13960788 
Sabbam Hari,Anakapalle,INC,0,12th Pass,Rs 85032286 ,Rs 450000 
RAVNEET SINGH,Anandpur Sahib,INC,0,12th Pass,Rs 21821443 ,Rs 300000 
ANANTHA VENKATA RAMI REDDY,Anantapur,INC,0,Post Graduate,Rs 13015000 ,Rs 0 
MIRZA MEHBOOB BEG,Anantnag,JKN,0,Graduate Professional,Rs 4850000 ,Rs 0 
Shri Bishnu Pada Ray,Andaman & Nicobar Islands,BJP, 1 ,Graduate,Rs 1241034 ,Rs 0 
MANEKA GANDHI,Aonla,BJP, 1 ,12th Pass,Rs 182833477 ,Rs 0 
JAGATHRAKSHAKAN,Arakkonam,DMK,0,10th Pass,Rs 59106399 ,Rs 0 
V. Kishore Chandra Deo,Araku,INC,0,Post Graduate,Rs 247410000 ,Rs 0 
SAKTI MOHAN MALIK,Arambag,CPM,0,Post Graduate,Rs 2415310 ,Rs 108000 
KRISHNASAMY M,Arani,INC,0,Graduate Professional,Rs 62385765 ,Rs 16792067 
PRADEEP KUMAR SINGH,Araria,BJP, 3 ,10th Pass,Rs 257014 ,Rs 764726 
Meena Singh,Arrah,JD(U),0,Graduate,Rs 42436500 ,Rs 0 
NINONG ERING,Arunachal East,INC,0,Graduate,Rs 104320000 ,Rs 1251784 
TAKAM SANJOY,Arunachal West,INC,0,Graduate,Rs 24137021 ,Rs 0 
BANSAGOPAL CHOWDHURY,Asansol,CPM,0,Graduate,Rs 1423763 ,Rs 0 
Nityananda Pradhan,Aska,BJD, 1 ,Post Graduate,Rs 26616692 ,Rs 1525000 
Adv A Sampath,Attingal,CPM, 2 ,Post Graduate,Rs 8999000 ,Rs 2150029 
Sushil Kumar Singh,Aurangabad,JD(U), 4 ,Post Graduate,Rs 20887871 ,Rs 741199 
CHANDRAKANT KHAIRE,Aurangabad,SHS, 16 ,12th Pass,Rs 14151539 ,Rs 1472122 
BIREN SINGH ENGTI,Autonomous District,INC,0,Post Graduate,Rs 25297068 ,Rs 0 
RAMAKANT YADAV,Azamgarh,BJP, 11 ,10th Pass,Rs 24494000 ,Rs 0 
DHARMENDRA YADAV,Badaun,SP,0,Post Graduate,Rs 5682299 ,Rs 98000 
GADDIGOUDAR P C,Bagalkot,BJP,0,Graduate Professional,Rs 16762000 ,Rs 6674134 
AJIT SINGH,Baghpat,RLD,0,Post Graduate,Rs 58232462 ,Rs 13077 
ADHIR RANJAN CHOWDHURY,Baharampur,INC, 4 ,10th Pass,Rs 29943557 ,Rs 1926083 
KAMAL KISHOR,Bahraich,INC, 1 ,Graduate,Rs 1373495 ,Rs 0 
Srikanta Kumar Jena,Balasore,INC,0,Graduate,Rs 5979551 ,Rs 862820 
NEERAJ SHEKHAR,Ballia,SP,0,Graduate,Rs 27718262 ,Rs 15100000 
Prasanta Kumar Majumdar,Balurghat,RSP,0,Post Graduate,Rs 1676454 ,Rs 0 
MUKESH BHAIRAVDANJI GADHAVI,Banaskantha,INC,0,Graduate,Rs 22694764 ,Rs 0 
R. K. SINGH PATEL,Banda,SP, 1 ,Graduate,Rs 34107955 ,Rs 0 
P.C.Mohan,Bangalore Central,BJP, 1 ,12th Pass,Rs 53729000 ,Rs 32887000 
D.B. Chandre Gowda,Bangalore North,BJP,0,Graduate Professional,Rs 20840751 ,Rs 0 
H D KUMARA SWAMY,Bangalore Rural,JD(S), 3 ,Graduate,Rs 491683477 ,Rs 336237223 
Ananth Kumar,Bangalore South,BJP,0,Graduate Professional,Rs 12206366 ,Rs 0 
GOBINDA CHANDRA NASKAR,Bangaon,AITC,0,Post Graduate,Rs 2549515 ,Rs 0 
Acharia Basudeb,Bankura,CPM,0,Post Graduate,Rs 3249037 ,Rs 0 
Tara chand,Banswara,INC,0,Post Graduate,Rs 6518752 ,Rs 1122163 
PANABAKA LAKSHMI,Bapatla,INC,0,Post Graduate,Rs 16635386 ,Rs 0 
P.L.PUNIA,Barabanki,INC,0,Doctorate,Rs 14047833 ,Rs 995370 
SUPRIYA SULE,Baramati,NCP,0,Graduate,Rs 515363663 ,Rs 0 
SHARIEF UD DIN SHARIQ,Baramulla,JKN,0,Post Graduate,Rs 11955000 ,Rs 1310000 
KAKALI GHOSH DASTIDAR,Barasat,AITC,0,Graduate Professional,Rs 12576309 ,Rs 335000 
ANUP KUMAR SAHA,Bardhaman Purba,CPM,0,Post Graduate,Rs 7472944 ,Rs 0 
SK. SAIDUL HAQUE,Bardhaman-Durgapur,CPM,0,Post Graduate,Rs 2414520 ,Rs 128172 
PRAVEEN SINGH ARON,Bareilly,INC, 1 ,Graduate Professional,Rs 288019293 ,Rs 32622036 
Sanjay Bhoi,Bargarh,INC,0,Graduate,Rs 1700000 ,Rs 0 
Harish choudhary,Barmer,INC,0,Graduate,Rs 4953849 ,Rs 1295812 
ISMAIL HUSSAIN,Barpeta,INC,0,Post Graduate,Rs 9931726 ,Rs 0 
DINESH TRIVEDI,Barrackpur,AITC,0,Post Graduate,Rs 27203930 ,Rs 0 
SK. NURUL ISLAM,Basirhat,AITC,0,12th Pass,Rs 1155500 ,Rs 807500 
Baliram Kashyap,Bastar,BJP,0,8th Pass,Rs 9948590 ,Rs 1166014 
ARVIND KUMAR CHAUDHARY,Basti,BSP,0,12th Pass,Rs 18643936 ,Rs 0 
HARSIMRAT KAUR,Bathinda,SAD,0,10th Pass,Rs 603100135 ,Rs 13800 
MUNDE GOPINATHRAO PANDURANG,Beed,BJP, 4 ,Graduate Professional,Rs 62250603 ,Rs 45090238 
DR. MONAZIR HASSAN,Begusarai,JD(U),0,Doctorate,Rs 3583898 ,Rs 1682852 
Angadi Suresh Channabasappa,Belgaum,BJP, 2 ,Graduate Professional,Rs 221734263 ,Rs 43392842 
J. SHANTHA,Bellary,BJP,0,12th Pass,Rs 46572264 ,Rs 0 
Sidhant Mohapatra,Berhampur,BJD,0,Post Graduate,Rs 4828474 ,Rs 118884 
JYOTI DHURVE,Betul,BJP,0,Post Graduate,Rs 7135000 ,Rs 638122 
GORAKHNATH,Bhadohi,BSP,0,Post Graduate,Rs 10158748 ,Rs 433968 
Arjun Charan Sethi,Bhadrak,BJD,0,Post Graduate,Rs 11061000 ,Rs 2500000 
SYED SHAHNAWAZ HUSSAIN,Bhagalpur,BJP,0,10th Pass,Rs 7472000 ,Rs 101000 
RATAN SINGH,Bharatpur,INC,0,Graduate Professional,Rs 11967191 ,Rs 335314 
MANSUKHBHAI DHANJIBHAI VASAVA,Bharuch,BJP,0,Graduate,Rs 2441000 ,Rs 833462 
RAJENDRASINH GHANSHYAMSINH RANA,Bhavnagar,BJP,0,Graduate Professional,Rs 5508711 ,Rs 0 
C P JOSHI,Bhilwara,INC,0,Doctorate,Rs 20376956 ,Rs 1400000 
ASHOK ARGAL,Bhind,BJP, 4 ,12th Pass,Rs 7972241 ,Rs 100000 
TAWARE SURESH KASHINATH,Bhiwandi,INC,0,Graduate,Rs 109039952 ,Rs 1250000 
SHRUTI CHOUDHRY,Bhiwani-Mahendragarh,INC,0,Graduate Professional,Rs 167266000 ,Rs 17000000 
KOMATIREDDY RAJ GOPAL REDDY,Bhongir,INC,0,Graduate,Rs 194763618 ,Rs 6057899 
KAILASH JOSHI,Bhopal,BJP,0,10th Pass,Rs 5885927 ,Rs 0 
Prasanna Kumar Patasani,Bhubaneswar,BJD,0,Post Graduate,Rs 1477178 ,Rs 0 
N. Dharamsingh,Bidar,INC, 5 ,Post Graduate,Rs 142394557 ,Rs 43958832 
Jigajinagi Ramesh Chandappa,Bijapur,BJP,0,Graduate,Rs 11753725 ,Rs 3902460 
SANJAY SINGH CHAUHAN,Bijnor,RLD,0,Graduate Professional,Rs 35352625 ,Rs 5254245 
ARJUN RAM MEGHWAL,Bikaner,BJP,0,Post Graduate,Rs 2563467 ,Rs 0 
SATABDI ROY (BANERJEE),Birbhum,AITC,0,12th Pass,Rs 13148000 ,Rs 526321 
Susmita Bauri,Bishnupur,CPM,0,Graduate Professional,Rs 1078000 ,Rs 174660 
KALIKESH NARAYAN SINGH DEO,Bolangir,BJD, 2 ,Graduate,Rs 36148185 ,Rs 1431104 
RAM CHANDRA DOME,Bolpur,CPM,0,Graduate Professional,Rs 739396 ,Rs 0 
KAMLESH,Bulandshahr,SP,0,5th Pass,Rs 844005 ,Rs 0 
JADHAV PRATAPRAO GANPATRAO,Buldhana,SHS, 10 ,Graduate,Rs 12052820 ,Rs 4541550 
Jagda Nand singh,Buxar,RJD, 1 ,Graduate Professional,Rs 6565488 ,Rs 12263 
K P Dhanapalan,Chalakudy,INC, 1 ,Graduate,Rs 2954364 ,Rs 0 
R.DHRUVANARAYANA,Chamarajanagar,INC,0,Post Graduate,Rs 16729619 ,Rs 3896431 
RAMKISHUN,Chandauli,SP, 10 ,Graduate Professional,Rs 4672785 ,Rs 0 
PAWAN KUMAR BANSAL,Chandigarh,INC,0,Graduate Professional,Rs 38729400 ,Rs 0 
KAPIL SIBAL,Chandni Chowk,INC,0,Post Graduate,Rs 319722459 ,Rs 0 
AHIR HANSARAJ GANGARAM,Chandrapur,BJP, 30 ,10th Pass,Rs 8084050 ,Rs 262243 
Inder Singh Namdhari,Chatra,IND,0,Graduate Professional,Rs 21277657 ,Rs 0 
RAJENDRAN C,Chennai South,ADMK,0,Graduate Professional,Rs 27966678 ,Rs 0 
