Candidate,Constituency,Party,Criminal Case(s),Education,Total Assets,Liabilities
Sudini Jaipal Reddy,Chevella,INC,0,Post Graduate,Rs 56150333 ,Rs 2042919 
RAMSINHBHAI PATALBHAI RATHAVA,Chhota Udaipur,BJP,0,10th Pass,Rs 10501785 ,Rs 6624317 
THIRUMAAVALAVAN THOL,Chidambaram,VCK, 2 ,Post Graduate,Rs 2347700 ,Rs 881000 
M. Veerappa Moily,Chikkballapur,INC,0,Graduate,Rs 29374446 ,Rs 1083264 
KATTI RAMESH VISHWANATH,Chikkodi,BJP, 1 ,12th Pass,Rs 28352578 ,Rs 0 
JANARDHANA SWAMY,Chitradurga,BJP,0,Post Graduate,Rs 22836000 ,Rs 0 
NARAMALLI SIVAPRASAD,Chittoor,TDP,0,Graduate Professional,Rs 6011000 ,Rs 0 
GIRIJA VYAS,Chittorgarh,INC, 1 ,Doctorate,Rs 8721354 ,Rs 0 
RAM SINGH KASWAN,Churu,BJP,0,Graduate Professional,Rs 27403097 ,Rs 0 
NATARAJAN.P.R.,Coimbatore,CPM,0,Graduate,Rs 1767722 ,Rs 0 
Nripendra Nath Ray,Coochbehar,AIFB, 1 ,Graduate,Rs 1133170 ,Rs 0 
ALAGIRI S,Cuddalore,INC,0,Graduate,Rs 11866846 ,Rs 78136525 
Bhartruhari Mahtab,Cuttack,BJD,0,Post Graduate,Rs 50793831 ,Rs 0 
PATEL NATUBHAI GOMANBHAI,Dadra & Nagar Haveli,BJP, 3 ,5th Pass,Rs 83494860 ,Rs 3426035 
PRABHABEN KISHORESINH TAVIAD,Dahod,INC,0,Graduate Professional,Rs 6823687 ,Rs 0 
Nalin Kumar Kateel,Dakshina Kannada,BJP, 1 ,10th Pass,Rs 5391279 ,Rs 2844596 
LALUBHAI PATEL,Daman & Diu,BJP,0,10th Pass,Rs 36879385 ,Rs 2135939 
SHIVRAJ BHAIYA,Damoh,BJP,0,12th Pass,Rs 8929326 ,Rs 286513 
KIRTI AZAD,Darbhanga,BJP, 3 ,Graduate,Rs 9789047 ,Rs 0 
Jaswant Singh,Darjeeling,BJP,0,Graduate,Rs 83571845 ,Rs 744864 
Siddeswara.G.M,Davanagere,BJP,0,10th Pass,Rs 140248867 ,Rs 4263675 
GORAKH PRASAD JAISWAL,Deoria,BSP,0,10th Pass,Rs 24217040 ,Rs 0 
SAJJAN SINGH VERMA,Dewas,INC,0,Post Graduate,Rs 27042325 ,Rs 1104525 
PASHUPATI NATH SINGH,Dhanbad,BJP, 2 ,Graduate,Rs 3943516 ,Rs 0 
GAJENDRASINGH RAJUKHEDI,Dhar,INC,0,Graduate Professional,Rs 20653466 ,Rs 0 
THAMARAISELVAN. R,Dharmapuri,DMK,0,Graduate Professional,Rs 3867546 ,Rs 460146 
Pralhad Joshi,Dharwad,BJP,0,Graduate,Rs 14412674 ,Rs 3182357 
KUNWAR JITIN PRASAD,Dhaurahra,INC,0,Post Graduate,Rs 32656975 ,Rs 0 
Tathagata Satpathy,Dhenkanal,BJD, 13 ,12th Pass,Rs 5515930 ,Rs 0 
BADRUDDIN AJMAL,Dhubri,AUDF,0,Literate,Rs 303520991 ,Rs 0 
SONAWANE PRATAP NARAYANRAO,Dhule,BJP,0,Graduate Professional,Rs 142157029 ,Rs 6581693 
SOMENDRA NATH MITRA,Diamond Harbour,AITC,0,Graduate Professional,Rs 14730832 ,Rs 157500 
SRI PABAN SINGH GHATOWAR,Dibrugarh,INC,0,Graduate,Rs 9797014 ,Rs 0 
CHITTHAN N S V,Dindigul,INC,0,Graduate,Rs 17035764 ,Rs 0 
CHAVAN HARISHCHANDRA DEORAM,Dindori,BJP, 1 ,Graduate,Rs 8515581 ,Rs 1520114 
JAGDAMBIKA PAL,Domariyaganj,INC, 1 ,Post Graduate,Rs 49720730 ,Rs 4566564 
SAUGATA RAY,Dum Dum,AITC,0,Post Graduate,Rs 3971408 ,Rs 0 
SHIBU SOREN,Dumka,JMM, 3 ,10th Pass,Rs 8229419 ,Rs 7265635 
SAROJ PANDEY,Durg,BJP,0,Post Graduate,Rs 379787 ,Rs 667787 
SANDEEP DIKSHIT,East Delhi,INC,0,Post Graduate,Rs 18146428 ,Rs 1980887 
KAVURI SAMBASIVA RAO,Eluru,INC,0,Graduate Professional,Rs 126050111 ,Rs 945674 
Prof K V Thomas,Ernakulam,INC,0,Post Graduate,Rs 15041664 ,Rs 2209490 
GANESHAMURTHI.A.,Erode,MDMK, 1 ,Graduate,Rs 26729518 ,Rs 1085323 
PREMDAS,Etawah,SP, 1 ,Graduate,Rs 4228828 ,Rs 0 
NIRMAL KHATRI,Faizabad,INC,0,Doctorate,Rs 6670000 ,Rs 5771 
AVTAR SINGH BHADANA,Faridabad,INC, 1 ,8th Pass,Rs 40573585 ,Rs 0 
PARAMJIT KAUR GULSHAN,Faridkot,SAD,0,Post Graduate,Rs 14208609 ,Rs 2185837 
SALMAN KHURSHEED,Farrukhabad,INC,0,Post Graduate,Rs 26140421 ,Rs 4765556 
SUKHDEV SINGH,Fatehgarh Sahib,INC,0,10th Pass,Rs 17083247 ,Rs 0 
RAKESH SACHAN,Fatehpur,SP, 7 ,Post Graduate,Rs 40955595 ,Rs 0 
SEEMA UPADHAYAY,Fatehpur Sikri,BSP,0,Graduate,Rs 26545096 ,Rs 1595708 
AKHILESH YADAV,Firozabad,SP,0,Graduate Professional,Rs 44409557 ,Rs 7726354 
SHER SINGH GHUBAYA,Firozpur,SAD,0,10th Pass,Rs 31969676 ,Rs 3698744 
KOWASE MAROTRAO SAINUJI,Gadchiroli-Chimur,INC,0,Graduate,Rs 10776756 ,Rs 500000 
LALKRISHNA KISHANCHAND ADVANI,Gandhinagar,BJP, 1 ,Graduate Professional,Rs 35543172 ,Rs 0 
BHARAT RAM MEGHWAL,Ganganagar,INC,0,Graduate Professional,Rs 5016000 ,Rs 400000 
SATPAL MAHARAJ,Garhwal,INC,0,12th Pass,Rs 112136795 ,Rs 0 
BIJOYA CHAKRAVARTY,Gauhati,BJP,0,Post Graduate,Rs 1870000 ,Rs 0 
SURENDRA SINGH NAGAR,Gautam Budhha Nagar,BSP, 2 ,Graduate,Rs 492084300 ,Rs 0 
Hari Manjhi,Gaya,BJP,0,8th Pass,Rs 1471374 ,Rs 389075 
Gurudas Dasgupta,Ghatal,CPI,0,Post Graduate,Rs 3654001 ,Rs 0 
RAJNATH SINGH,Ghaziabad,BJP, 1 ,Post Graduate,Rs 14902703 ,Rs 0 
RADHEY MOHAN SINGH,Ghazipur,SP, 1 ,Graduate,Rs 22062609 ,Rs 1752447 
DARA SINGH CHAUHAN,Ghosi,BSP, 2 ,10th Pass,Rs 2044115 ,Rs 927848 
RAVINDRA KUMAR PANDEY,Giridih,BJP, 1 ,Graduate,Rs 32722762 ,Rs 3317725 
NISHIKANT DUBEY,Godda,BJP,0,Post Graduate,Rs 101037987 ,Rs 0 
BENI PRASAD VERMA,Gonda,INC,0,Graduate Professional,Rs 20183574 ,Rs 80932 
PURNAMASI RAM,Gopalganj,JD(U), 1 ,10th Pass,Rs 3421562 ,Rs 533024 
ADITYA NATH,Gorakhpur,BJP, 2 ,Graduate,Rs 2182212 ,Rs 0 
Mallikarjun Kharge,Gulbarga,INC,0,Graduate Professional,Rs 50646533 ,Rs 5508946 
JYOTIRADITYA MADHAVRAO SCINDIA,Guna,INC,0,Post Graduate,Rs 149094212 ,Rs 0 
SAMBASIVA RAO RAYAPATI,Guntur,INC, 3 ,Graduate,Rs 147143582 ,Rs 45204329 
PARTAP SINGH BAJWA,Gurdaspur,INC,0,Graduate,Rs 68053249 ,Rs 100000 
INDERJIT SINGH,Gurgaon,INC,0,Graduate Professional,Rs 67383257 ,Rs 96692 
RAM SUNDAR DAS,Hajipur,JD(U),0,10th Pass,Rs 2796489 ,Rs 1116705 
VIJAY BAHADUR SINGH,Hamirpur,BSP,0,Graduate Professional,Rs 42956873 ,Rs 623689 
ANURAG SINGH THAKUR,Hamirpur,BJP,0,Graduate,Rs 24150103 ,Rs 2504550 
USHA VERMA,Hardoi,SP,0,Post Graduate,Rs 10111699 ,Rs 500000 
HARISH RAWAT,Hardwar,INC, 1 ,Graduate Professional,Rs 11825335 ,Rs 0 
H. D. Devegowda,Hassan,JD(S),0,Others,Rs 19624664 ,Rs 6499000 
SARIKA SINGH,Hathras,RLD,0,Post Graduate,Rs 825272 ,Rs 0 
SHETTI RAJU ALIAS DEVAPPA ANNA,Hatkanangle,SWP,0,10th Pass,Rs 2253785 ,Rs 104341 
SHIVAKUMAR CHANNABASAPPA UDASI,Haveri,BJP,0,Graduate,Rs 323361935 ,Rs 33833437 
YASHWANT SINHA,Hazaribagh,BJP, 1 ,Post Graduate,Rs 36576217 ,Rs 0 
KRISTAPPA NIMMALA,Hindupur,TDP,0,Graduate,Rs 15917465 ,Rs 1216390 
SUBHASH BAPURAO WANKHEDE,Hingoli,SHS, 4 ,10th Pass,Rs 3488000 ,Rs 484000 
BHAJAN LAL,Hisar,HJC(BL),0,12th Pass,Rs 65113381 ,Rs 7354075 
RATNA DE,Hooghly,AITC,0,Graduate Professional,Rs 8730448 ,Rs 0 
SANTOSH CHOWDHARY,Hoshiarpur,INC,0,Graduate Professional,Rs 26816253 ,Rs 0 
AMBICA BANERJEE,Howrah,AITC, 1 ,Graduate Professional,Rs 62926674 ,Rs 7233333 
Asaduddin Owaisi,Hyderabad,AIMIM, 4 ,Graduate Professional,Rs 9302233 ,Rs 0 
Adv P T Thomas,Idukki,INC,0,Post Graduate,Rs 3984094 ,Rs 448284 
SUMITRA MAHAJAN (TAI),Indore,BJP,0,Post Graduate,Rs 7974006 ,Rs 4429400 
DR. THOKCHOM MEINYA,Inner Manipur,INC,0,Doctorate,Rs 1639200 ,Rs 0 
RAKESH SINGH,Jabalpur,BJP,0,Graduate,Rs 9231699 ,Rs 10545 
KABIR SUMAN,Jadavpur,AITC,0,Graduate,Rs 3206685 ,Rs 0 
Bibhu Prasad Tarai,Jagatsinghpur,CPI,0,Post Graduate,Rs 4460251 ,Rs 43000 
MAHESH JOSHI,Jaipur,INC,0,Doctorate,Rs 10388500 ,Rs 1245000 
LAL CHAND KATARIA,Jaipur Rural,INC,0,10th Pass,Rs 30650401 ,Rs 702835 
Mohan Jena,Jajpur,BJD,0,Post Graduate,Rs 3046404 ,Rs 0 
MOHINDER SINGH KAYPEE,Jalandhar,INC,0,Graduate Professional,Rs 48196591 ,Rs 125000 
GHANSYAM ANURAGI,Jalaun,SP, 2 ,Post Graduate,Rs 6350833 ,Rs 0 
A.T. NANA PATIL,Jalgaon,BJP,0,Graduate,Rs 103839607 ,Rs 9200000 
DANVE RAOSAHEB DADARAO,Jalna,BJP, 3 ,12th Pass,Rs 24271518 ,Rs 530771 
DEV JI PATEL,Jalore,BJP,0,10th Pass,Rs 11261830 ,Rs 0 
Mahendra Kumar Roy,Jalpaiguri,CPM,0,Graduate Professional,Rs 2878591 ,Rs 0 
MADAN LAL SHARMA,Jammu,INC, 1 ,10th Pass,Rs 11882734 ,Rs 149750 
VIKRAMBHAI ARJANBHAI MADAM,Jamnagar,INC,0,Graduate,Rs 15590109 ,Rs 400000 
ARJUN MUNDA,Jamshedpur,BJP, 2 ,Graduate Professional,Rs 12384895 ,Rs 176069 
BHUDEO CHOUDHARY,Jamui,JD(U),0,Graduate Professional,Rs 4079000 ,Rs 289192 
PRANAB MUKHERJEE,Jangipur,INC,0,Doctorate,Rs 26920479 ,Rs 0 
Kamaladevi Patale,Janjgir-Champa,BJP,0,12th Pass,Rs 3556426 ,Rs 80000 
DHANANJAY SINGH,Jaunpur,BSP, 1 ,Post Graduate,Rs 4362656 ,Rs 678982 
DR. TARUN MONDAL,Jaynagar,IND,0,Graduate Professional,Rs 1856636 ,Rs 5600 
DUSHYANT SINGH,Jhalawar-Baran,BJP,0,Post Graduate,Rs 64110900 ,Rs 2779153 
MANGANI LAL MANDAL,Jhanjharpur,JD(U), 2 ,Post Graduate,Rs 5398803 ,Rs 1709884 
PRADEEP KUMAR JAIN,Jhansi,INC, 2 ,Post Graduate,Rs 3343719 ,Rs 0 
Pulin Bihari Baske,Jhargram,CPM,0,Graduate Professional,Rs 1484298 ,Rs 0 
CHANDRESH KUMARI,Jodhpur,INC,0,12th Pass,Rs 132881067 ,Rs 60744 
BIJOY KRISHNA HANDIQUE,Jorhat,INC,0,Post Graduate,Rs 15428123 ,Rs 0 
DINUBHAI BOGHABHAI SOLANKI,Junagadh,BJP, 1 ,Graduate,Rs 19460865 ,Rs 5945896 
POONAMBEN VELJIBHAI JAT,Kachchh,BJP, 1 ,12th Pass,Rs 524126 ,Rs 0 
Y.S. Jagan Mohan Reddy,Kadapa,INC,0,Graduate,Rs 728151658 ,Rs 66396966 
TABASSUM BEGAM,Kairana,BSP,0,10th Pass,Rs 11667328 ,Rs 0 
BRIJBHUSHAN SARAN SINGH,Kaiserganj,SP, 2 ,Graduate Professional,Rs 53537885 ,Rs 0 
M M Pallamraju,Kakinada,INC,0,Post Graduate,Rs 65589882 ,Rs 1112763 
Bhakta Charan Das,Kalahandi,INC, 4 ,Graduate Professional,Rs 5582100 ,Rs 2061217 
DIP GOGOI,Kaliabor,INC,0,Graduate,Rs 2539058 ,Rs 0 
SANKAR ADHI,Kallakurichi,DMK, 1 ,Graduate Professional,Rs 17837266 ,Rs 986068 
ANAND PRAKASH PARANJAPE,Kalyan,SHS, 1 ,Post Graduate,Rs 11998220 ,Rs 3871225 
VISWANATHAN.P,Kancheepuram,INC,0,Graduate,Rs 5685495 ,Rs 2246494 
Rudra Madhab Ray,Kandhamal,BJD,0,Graduate,Rs 4387647 ,Rs 566588 
DR. RAJAN SUSHANT,Kangra,BJP,0,Graduate Professional,Rs 11024873 ,Rs 2488285 
Sohan Potai,Kanker,BJP,0,Post Graduate,Rs 8261296 ,Rs 0 
AKHILESH YADAV,Kannauj,SP,0,Graduate Professional,Rs 48582202 ,Rs 7726354 
HELEN DAVIDSON J,Kanniyakumari,DMK,0,Post Graduate,Rs 48455728 ,Rs 2123538 
K Sudhakaran Kavinte Arikathu,Kannur,INC, 3 ,Post Graduate,Rs 7359040 ,Rs 600000 
SRI PRAKASH JAISWAL,Kanpur,INC,0,12th Pass,Rs 30767980 ,Rs 0 
ADHIKARI SISIR KUMAR,Kanthi,AITC, 1 ,12th Pass,Rs 1083159 ,Rs 0 
Mahabali Singh,Karakat,JD(U), 3 ,8th Pass,Rs 6194257 ,Rs 0 
KHILADI LAL BAIRWA,Karauli-Dholpur,INC,0,Graduate,Rs 62802340 ,Rs 5693479 
Lalit Mohan Suklabaidya,Karimganj,INC,0,Post Graduate,Rs 4644049 ,Rs 0 
Ponnam Prabhakar,Karimnagar,INC,0,Graduate Professional,Rs 1287000 ,Rs 0 
ARVIND KUMAR SHARMA,Karnal,INC,0,Post Graduate,Rs 19071256 ,Rs 0 
TAMBIDURAI.M,Karur,ADMK, 2 ,Doctorate,Rs 93750227 ,Rs 0 
P.Karunakaran,Kasaragod,CPM, 12 ,Post Graduate,Rs 17823645 ,Rs 0 
NIKHIL KUMAR CHOUDHARY,Katihar,BJP, 4 ,Graduate,Rs 8018754 ,Rs 802308 
SHAILENDRA KUMAR,Kaushambi,SP,0,Graduate,Rs 20800327 ,Rs 0 
Baijayant Panda,Kendrapara,BJD,0,Graduate Professional,Rs 161100792 ,Rs 451767 
Yashbanta Narayan Singh Laguri,Keonjhar,BJD, 6 ,Graduate,Rs 575000 ,Rs 15000000 
DR. RATTAN SINGH AJNALA,Khadoor Sahib,SAD, 1 ,Graduate Professional,Rs 18774102 ,Rs 0 
DINESH CHANDRA YADAV,Khagaria,JD(U),0,Others,Rs 6305253 ,Rs 15922 
JEETENDRA SINGH,Khajuraho,BJP,0,Post Graduate,Rs 10596506 ,Rs 0 
Nama Nageswara Rao,Khammam,TDP,0,12th Pass,Rs 1737508117 ,Rs 0 
ARUN SUBHASHCHANDRA YADAV,Khandwa,INC, 1 ,Graduate,Rs 53289688 ,Rs 27562966 
