Candidate,Constituency,Party,Criminal Case(s),Education,Total Assets,Liabilities
P. KARUNAKARAN,Kasaragod,CPM, 20 ,Post Graduate,Rs 5190249 ,Rs 10330 
NIKHIL KUMAR CHOUDHARY,Katihar,BJP, 1 ,Graduate,Rs 4535938 ,Rs 0 
Mahboob Zahedi,Katwa,CPM,0,10th Pass,Rs 2705606 ,Rs 332383 
ARCHANA NAYAK,Kendrapara,BJD,0,Post Graduate,Rs 384400 ,Rs 32000 
ANANTA NAYAK,Keonjhar,BJP,0,12th Pass,Rs 818420 ,Rs 69086 
RABINDRA KU. RANA,Khagaria,RJD, 1 ,Graduate Professional,Rs 6336271 ,Rs 0 
DR. RAMKRISHNA KUSHMARIYA ( BABA JEE ),Khajuraho,BJP,0,Doctorate,Rs 5183173 ,Rs 986766 
BHALCHANDRA YADAVA,Khalilabad,BSP, 10 ,Graduate,Rs 651000 ,Rs 260630 
RENUKA CHOWDHURY,Khammam,INC, 1 ,Post Graduate,Rs 136912161 ,Rs 300414 
NAND KUMAR SINGH CHAUHAN ( NANDU BHAIYA),Khandwa,BJP,0,Graduate,Rs 4510192 ,Rs 947000 
KRISHNA MURARI MOGHE,Khargone,BJP,0,Graduate,Rs 7414005 ,Rs 88719 
ADHALARAO PATIL SHIVAJIRAO,Khed,SHS,0,Post Graduate,Rs 52230281 ,Rs 12332651 
RAVI PRAKASH VERMA,Kheri,SP,0,Graduate Professional,Rs 2916963 ,Rs 246079 
SUSHILA KERKETTA,Khunti,INC,0,Post Graduate,Rs 3328161 ,Rs 0 
ASHOK KUMAR PRADHAN,Khurja,BJP,0,Others,Rs 11589733 ,Rs 0 
TASLIMUDDIN,Kishanganj,RJD, 9 ,Literate,Rs 5525834 ,Rs 1012986 
BABULAL MARANDI,Kodarma,BJP,0,Graduate,Rs 500000 ,Rs 460000 
SANSUMA KHUNGGUR BWISWMUTHIARY,Kokrajhar,IND,0,Graduate,Rs 1694686 ,Rs 0 
A. R. ANTULAY,Kolaba,INC,0,Graduate Professional,Rs 28468000 ,Rs 0 
K.H. MUNIYAPPA,Kolar,INC,0,Graduate,Rs 6187039 ,Rs 397195 
MANDLIK SADASHIVRAO DADOBA,Kolhapur,NCP, 2 ,Graduate,Rs 8842586 ,Rs 986985 
E.  V.  ALIAS BALASAHEB VIKHE PATIL,Kopargaon,INC,0,10th Pass,Rs 36937860 ,Rs 764653 
K. VIRUPAXAPPA,Koppal,INC,0,10th Pass,Rs 5230246 ,Rs 1046888 
GIRIDHAR GAMANG,Koraput,INC,0,Graduate,Rs 459812 ,Rs 0 
RAGHUVEER SINGH KOSHAL,Kota,BJP,0,Graduate Professional,Rs 5734998 ,Rs 664908 
K. SURESH KURUP,Kottayam,CPM,0,Graduate Professional,Rs 1818560 ,Rs 993202 
Jyotirmoyee Sikdar,Krishnagar,CPM,0,12th Pass,Rs 7545592 ,Rs 1036080 
SUGAVANAM. E. G,Krishnagiri,DMK, 1 ,Others,Rs 5121291 ,Rs 1991138 
KOTLA JAYASURYA PRAKASHA REDDY,Kurnool,INC,0,Graduate,Rs 15941801 ,Rs 681000 
NAVEEN JINDAL,Kurukshetra,INC,0,Post Graduate,Rs 121295000 ,Rs 0 
GADHAVI PUSHPADAN SHAMBHUDAN,Kutch,BJP,0,Graduate Professional,Rs 9730221 ,Rs 719633 
THUPSTAN CHHEWANG,Ladakh,IND,0,Graduate Professional,Rs 6139045 ,Rs 230415 
DR. ARUN KUMAR SARMAH,Lakhimpur,AGP,0,Not Given,Rs 1467028 ,Rs 0 
DR. P. POOKUNHIKOYA,Lakshadweep,JD(U),0,Graduate Professional,Rs 3945099 ,Rs 103145 
DAROGA PRASAD SAROJ,Lalganj,SP, 1 ,Graduate,Rs 614485 ,Rs 130918 
PATIL RUPATAI DILIPRAO NILANGEKAR,Latur,BJP,0,10th Pass,Rs 1960659 ,Rs 5585583 
RAMESHWAR ORAON,Lohardaga,INC,0,Doctorate,Rs 9238423 ,Rs 364452 
ATAL BIHARI VAJPAYEE,Lucknow,BJP,0,Post Graduate,Rs 5899232 ,Rs 0 
SHARANJIT SINGH DHILLON,Ludhiana,SAD, 1 ,Graduate Professional,Rs 9842137 ,Rs 1176489 
UMAKANT YADAV,Machhlishahr,BSP, 8 ,Post Graduate,Rs 28462566 ,Rs 0 
BADIGA RAMAKRISHNA,Machilipatnam,INC,0,12th Pass,Rs 138545000 ,Rs 11559000 
LALU PRASAD,Madhepura,RJD, 7 ,Graduate Professional,Rs 8768340 ,Rs 22041400 
DR. SHAKEEL AHMAD,Madhubani,INC,0,Graduate Professional,Rs 1859000 ,Rs 300000 
DAYANIDHI MARAN,Madras Central,DMK,0,Graduate,Rs 14420628 ,Rs 0 
KUPPUSAMI. C,Madras North,DMK, 1 ,12th Pass,Rs 9537668 ,Rs 156696 
BAALU T. R.,Madras South,DMK,0,Graduate,Rs 27444755 ,Rs 0 
D. VITTAL RAO,Mahabubnagar,INC,0,Graduate,Rs 65075830 ,Rs 3000000 
PANKAJ,Maharajganj,BJP,0,12th Pass,Rs 14174401 ,Rs 473788 
PRABHUNATH SINGH,Maharajganj,JD(U), 11 ,12th Pass,Rs 3296840 ,Rs 530175 
AJIT  JOGI,Mahasamund,INC, 2 ,Graduate Professional,Rs 8835009 ,Rs 0 
INDERJIT SINGH,Mahendragarh,INC,0,Graduate Professional,Rs 55105874 ,Rs 1108417 
MULAYAM SINGH YADAV,Mainpuri,SP, 2 ,Post Graduate,Rs 11541224 ,Rs 41235 
A. B. A. Ghani Khan Choudhury,Malda,INC, 1 ,Graduate,Rs 4115704 ,Rs 4187744 
HARISCHANDRA DEVRAM CHAVAN,Malegaon,BJP,0,Graduate,Rs 3312291 ,Rs 9033 
PRATIBHA SINGH,Mandi,INC,0,Graduate,Rs 230288018 ,Rs 1542808 
FAGGAN SINGH KULASTE,Mandla,BJP,0,Post Graduate,Rs 3091035 ,Rs 0 
DR LAXMINARAYAN PANDEYA,Mandsaur,BJP,0,Post Graduate,Rs 2650506 ,Rs 726872 
CHAUDHARY TUSHARBHAI AMARSINHBHAI,Mandvi,INC,0,Graduate Professional,Rs 1817815 ,Rs 400372 
AMBAREESH M. H.,Mandya,INC,0,Not Given,Rs 7394819 ,Rs 321600 
NARAYAN CHANDRA BORKATAKY,Mangaldoi,BJP,0,Graduate,Rs 5595818 ,Rs 301647 
D. V. SADANANDA GOWDA,Mangalore,BJP,0,Graduate Professional,Rs 4639359 ,Rs 968423 
T. K. HAMZA,Manjeri,CPM,0,Graduate Professional,Rs 780480 ,Rs 434704 
MANVENDRA SINGH,Mathura,INC,0,12th Pass,Rs 15387530 ,Rs 281228 
Basudeb Barman,Mathurapur,CPM,0,Post Graduate,Rs 2772156 ,Rs 0 
C. S. SUJATHA,Mavelikara,CPM, 4 ,Graduate Professional,Rs 669613 ,Rs 18000 
MANI SHANKAR AIYAR,Mayiladuturai,INC,0,Post Graduate,Rs 19391699 ,Rs 380411 
SUDAM MARNDI,Mayurbhanj,JMM, 4 ,12th Pass,Rs 1780596 ,Rs 0 
A. NARENDRA,Medak,TRS,0,Graduate,Rs 2020000 ,Rs 500000 
MOHD. SHAHID,Meerut,BSP,0,5th Pass,Rs 15220720 ,Rs 121146 
JIVABHAI AMBALAL PATEL,Mehsana,INC,0,10th Pass,Rs 34602412 ,Rs 0 
Prabodh Panda,Midnapore,CPI,0,Graduate,Rs 1297328 ,Rs 0 
JAIPAL REDDY SUDINI,Miryalguda,INC,0,Post Graduate,Rs 12264007 ,Rs 1546865 
NARENDRA KUMAR KUSHWAHA,Mirzapur,BSP,0,12th Pass,Rs 7099 ,Rs 0 
ASHOK KUMAR RAWAT,Misrikh,BSP,0,Post Graduate,Rs 1419108 ,Rs 326547 
VANLALZAWMA,Mizoram,MNF,0,Post Graduate,Rs 2127713 ,Rs 0 
JAI PRAKASH,Mohanlalganj,SP,0,Graduate,Rs 16583667 ,Rs 1883335 
JAY PRAKASH NARAYAN YADAV,Monghyr,RJD, 1 ,Post Graduate,Rs 1880178 ,Rs 172602 
DR. SHAFIQURRAHMAN BARQ,Moradabad,SP,0,Graduate,Rs 1349151 ,Rs 0 
ASHOK CHHAVIRAM ARGAL,Morena,BJP, 2 ,12th Pass,Rs 3220504 ,Rs 432625 
ALEMAO CHURCHIL BRAZ,Mormugao,INC, 1 ,12th Pass,Rs 8675904 ,Rs 8172004 
AKHILES PRASAD SINGH,Motihari,RJD,0,Post Graduate,Rs 3669358 ,Rs 0 
LONAPPAN NAMBADAN,Mukundapuram,CPM,0,Others,Rs 1930115 ,Rs 0 
GOVINDA,Mumbai North,INC, 1 ,Graduate,Rs 145298405 ,Rs 25000000 
EKNATH M. GAIKWAD,Mumbai North Central,INC,0,10th Pass,Rs 2045861 ,Rs 0 
KAMAT GURUDAS,Mumbai North East,INC,0,Graduate Professional,Rs 33894725 ,Rs 0 
SUNIL DUTT,Mumbai North West,INC, 1 ,Graduate,Rs 204321510 ,Rs 0 
MOHAN RAWALE,Mumbai South Central,SHS, 4 ,10th Pass,Rs 5589646 ,Rs 145918 
P. C. THOMAS (PULLOLIL),Muvattupuzha,IFDP,0,Graduate Professional,Rs 6392358 ,Rs 1232410 
CH. MUNAWWAR HASAN,Muzaffarnagar,SP, 1 ,10th Pass,Rs 4217051 ,Rs 0 
GEORGE FERNANDES,Muzaffarpur,JD(U),0,Others,Rs 33987410 ,Rs 0 
C. H. VIJAYASHANKAR,Mysore,BJP,0,Graduate Professional,Rs 263999 ,Rs 21750 
Alakesh Das,Nabadwip,CPM,0,Post Graduate,Rs 278876 ,Rs 18382 
W. WANGYUH,Nagaland,NPF,0,Post Graduate,Rs 2147000 ,Rs 0 
VIJAYAN A. K. S.,Nagapattinam,DMK,0,12th Pass,Rs 3191000 ,Rs 1013614 
DR.MANDA JAGANNATH,Nagarkurnool,TDP,0,Post Graduate,Rs 6545314 ,Rs 2339000 
BHANWAR SINGH DANGAWAS,Nagaur,BJP,0,12th Pass,Rs 1303714 ,Rs 0 
BELLARMIN. A. V.,Nagercoil,CPM,0,Post Graduate,Rs 3076650 ,Rs 0 
VILAS MUTTEMWAR,Nagpur,INC,0,Graduate,Rs 10020540 ,Rs 2898977 
K. C. SINGH BABA,Nainital,INC,0,12th Pass,Rs 23708052 ,Rs 2906552 
NITISH KUMAR,Nalanda,JD(U),0,Graduate,Rs 4389206 ,Rs 672674 
SURAVARAM SUDHAKAR REDDY,Nalgonda,CPI, 1 ,Graduate Professional,Rs 1990000 ,Rs 962600 
S. P. Y. REDDY,Nandyal,INC,0,Graduate Professional,Rs 64646900 ,Rs 13374000 
MEKAPATI RAJAMOHAN REDDY,Narasaraopet,INC,0,Graduate Professional,Rs 63961169 ,Rs 0 
PINGALE DEVIDAS ANANDRAO,Nashik,NCP, 1 ,10th Pass,Rs 19757718 ,Rs 5607433 
VIRCHANDRA PASWAN,Nawada,RJD,0,Post Graduate,Rs 1797522 ,Rs 135728 
PANABAKA LAKSHMI,Nellore,INC,0,Post Graduate,Rs 5395726 ,Rs 0 
AJAY MAKAN,New Delhi,INC, 1 ,Post Graduate,Rs 30234158 ,Rs 650000 
PRABHU R.,Nilgiris,INC,0,Post Graduate,Rs 102440054 ,Rs 0 
MADHU GOUD YASKHI,Nizamabad,INC,0,Post Graduate,Rs 142718537 ,Rs 32560000 
RAJEN GOHAIN,Nowgong,BJP,0,Graduate Professional,Rs 3679236 ,Rs 336600 
PARSURAM MAJHI,Nowrangpur,BJP,0,Graduate,Rs 767000 ,Rs 25000 
SREENIVASULU REDDY MAGUNTA,Ongole,INC, 2 ,Graduate,Rs 141768943 ,Rs 0 
NARHIRE KALPANA RAMESH,Osmanabad,SHS, 5 ,10th Pass,Rs 3234992 ,Rs 510681 
S. AJAYA KUMAR,Ottapalam,CPM, 3 ,12th Pass,Rs 1083876 ,Rs 780000 
SAJJAN KUMAR,Outer Delhi,INC, 1 ,Literate,Rs 1306055 ,Rs 520477 
MANI CHARENAMEI,Outer Manipur,IND,0,Graduate,Rs 205000 ,Rs 0 
BALESHWAR YADAV,Padrauna,National Loktantrik Party,0,Graduate,Rs 6907100 ,Rs 500000 
MANOJ KUMAR,Palamau,RJD,0,Graduate,Rs 1825000 ,Rs 125000 
N. N. KRISHNADAS,Palghat,CPM, 4 ,Graduate,Rs 1503105 ,Rs 0 
PUSP JAIN,Pali,BJP,0,Graduate Professional,Rs 1654429 ,Rs 222611 
SHRIPAD YESSO NAIK,Panaji,BJP,0,Graduate,Rs 4537329 ,Rs 598785 
ATHAWALE RAMDAS BANDU,Pandharpur,RPI(A),0,Graduate,Rs 2656172 ,Rs 0 
Gurudas Dasgupta,Panskura,CPI,0,Post Graduate,Rs 3668778 ,Rs 0 
TUKARAM GANPATRAO RENGE PATIL,Parbhani,SHS, 13 ,Post Graduate,Rs 6060000 ,Rs 1950000 
KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,Parvathipuram,INC,0,Post Graduate,Rs 220678000 ,Rs 0 
KANODIA MAHESHKUMAR MITHABHAI,Patan,BJP,0,Literate,Rs 11842032 ,Rs 803206 
PRENEET KAUR,Patiala,INC,0,Graduate,Rs 412867297 ,Rs 0 
RAM KRIPAL YADAV,Patna,RJD,0,Graduate,Rs 1400031 ,Rs 204942 
G. VENKAT SWAMY,Peddapalli,INC,0,10th Pass,Rs 19464700 ,Rs 0 
RAJA A.,Perambalur,DMK,0,Graduate Professional,Rs 5759538 ,Rs 1331049 
AARON RASHID J. M.,Periyakulam,INC,0,10th Pass,Rs 152098686 ,Rs 2253320 
CHARANJIT SINGH ATWAL,Phillaur,SAD,0,Graduate Professional,Rs 16469765 ,Rs 710013 
SUGRIB SINGH,Phulbani,BJD,0,Graduate,Rs 869000 ,Rs 326000 
ATIQUE AHAMAD,Phulpur,SP, 36 ,8th Pass,Rs 33704071 ,Rs 0 
MANEKA GANDHI,Pilibhit,BJP,0,12th Pass,Rs 66763700 ,Rs 0 
KRISHNAN DR. C,Pollachi,MDMK,0,Graduate Professional,Rs 2686691 ,Rs 200000 
RAMADASS. M.,Pondicherry,PMK,0,Doctorate,Rs 3217000 ,Rs 247304 
PATEL HARILAL MADHAVJIBHAI (HARIBHAI PATEL),Porbandar,BJP,0,8th Pass,Rs 7041540 ,Rs 1738534 
AKSHAY PRATAP SINGH (GOPAL JI),Pratapgarh,SP, 26 ,Literate,Rs 2169847 ,Rs 0 
REGUPATHY S.,Pudukkottai,DMK, 2 ,Graduate Professional,Rs 15938121 ,Rs 1326075 
KALMADI SURESH,Pune,INC, 1 ,Graduate,Rs 39947625 ,Rs 1700000 
BRAJA KISHORE TRIPATHY,Puri,BJD,0,Post Graduate,Rs 4197384 ,Rs 0 
UDAY SINGH,Purnea,BJP,0,12th Pass,Rs 30654143 ,Rs 731440 
Bir Singh Mahato,Purulia,AIFB, 2 ,Post Graduate,Rs 1474102 ,Rs 314287 
P. RAJENDRAN,Quilon,CPM,0,Post Graduate,Rs 2242499 ,Rs 227054 
SONIA GANDHI,Rae Bareli,INC,0,Others,Rs 8568694 ,Rs 0 
A.VENKATESH NAIK,Raichur,INC,0,12th Pass,Rs 5615514 ,Rs 447987 
Priya Ranjan Dasmunsi,Raiganj,INC,0,Post Graduate,Rs 7504280 ,Rs 3000000 
VISHNUDEO SAI,Raigarh,BJP,0,12th Pass,Rs 899500 ,Rs 70546 
RAMESH BAIS,Raipur,BJP,0,12th Pass,Rs 9690604 ,Rs 0 
ARUNA KUMAR VUNDAVALLI,Rajahmundry,INC, 2 ,Graduate Professional,Rs 23431318 ,Rs 881017 
ANNAYYAGARI SAI PRATHAP,Rajampet,INC,0,12th Pass,Rs 9709190 ,Rs 1160909 
SURESH PRABHAKAR PRABHU,Rajapur,SHS, 1 ,Doctorate,Rs 4520169 ,Rs 0 
LAKSHMAN SINGH,Rajgarh,BJP,0,Graduate,Rs 49014404 ,Rs 21893 
DR. KATHIRIA VALLABHBHAI RAMJIBHAI,Rajkot,BJP,0,Graduate Professional,Rs 7971781 ,Rs 110729 
HEMLAL MURMU,Rajmahal,JMM, 1 ,Not Given,Rs 1680400 ,Rs 0 
PRADEEP GANDHI,Rajnandgaon,BJP,0,Graduate,Rs 1699397 ,Rs 486000 
BHAVANI RAJENTHIRAN. M. S. K.,Ramanathapuram,DMK,0,Post Graduate,Rs 15150840 ,Rs 500000 
P. JAYA PRADA NAHATA,Rampur,SP,0,12th Pass,Rs 84275000 ,Rs 300000 
MOHITE SUBODH BABURAO,Ramtek,SHS, 4 ,Graduate Professional,Rs 4472038 ,Rs 0 
SUBODH KANT SAHAY,Ranchi,INC,0,Graduate,Rs 12291253 ,Rs 829561 
RANI. K,Rasipuram,INC, 1 ,Post Graduate,Rs 13775000 ,Rs 2077289 
ANANT GEETE,Ratnagiri,SHS,0,12th Pass,Rs 5518754 ,Rs 1200000 
CHANDRAMANI TRIPATHI,Rewa,BJP, 1 ,Graduate Professional,Rs 1062399 ,Rs 40000 
LALCHANDRA,Robertsganj,BSP,0,Literate,Rs 88030 ,Rs 165515 
BHUPINDER SINGH,Rohtak,INC, 1 ,Graduate Professional,Rs 9486571 ,Rs 457151 
SUKHDEV SINGH LIBRA,Ropar,SAD,0,10th Pass,Rs 10332944 ,Rs 0 
RAM CHANDRA PASWAN,Rosera,LJNSP,0,10th Pass,Rs 4204913 ,Rs 0 
MADHUSUDAN MISTRY,Sabarkantha,INC,0,Post Graduate,Rs 1826173 ,Rs 125000 
VIRENDRA KUMAR,Sagar,BJP,0,Post Graduate,Rs 1429786 ,Rs 0 
RASHEED MASOOD,Saharanpur,SP, 1 ,Post Graduate,Rs 26175490 ,Rs 3050977 
RANJEET RANJAN,Saharsa,LJNSP,0,12th Pass,Rs 2549000 ,Rs 0 
TUFANI SAROJ,Saidpur,SP,0,Graduate,Rs 4558332 ,Rs 0 
THANGKABALU K. V.,Salem,INC,0,Post Graduate,Rs 56185835 ,Rs 0 
HARIKEVAL PRASAD,Salempur,SP,0,Not Given,Rs 3037000 ,Rs 0 
MAHAVEER BHAGORA,Salumber,BJP, 1 ,Post Graduate,Rs 3026777 ,Rs 0 
ALOK KUMAR MEHTA,Samastipur,RJD,0,Graduate Professional,Rs 6794434 ,Rs 0 
PRASANNA ACHARYA,Sambalpur,BJD,0,Graduate Professional,Rs 10184422 ,Rs 874591 
PRO. RAM GOPAL YADAV,Sambhal,SP,0,Doctorate,Rs 7953884 ,Rs 475000 
Patil Prakashbapu Vasantdada,Sangli,INC,0,Graduate,Rs 35635000 ,Rs 0 
SUKHDEV SINGH DHINDSA,Sangrur,SAD,0,Graduate,Rs 13984341 ,Rs 0 
GUHARAM AJGALLE,Sarangarh,BJP,0,Graduate Professional,Rs 1768900 ,Rs 0 
MEIRA KUMAR,Sasaram,INC,0,Post Graduate,Rs 28956730 ,Rs 3600000 
LAXMANRAO PANDURANG JADHAV (PATIL),Satara,NCP,0,10th Pass,Rs 9925739 ,Rs 50403 
GANESH SINGH,Satna,BJP, 2 ,Post Graduate,Rs 2548143 ,Rs 236038 
NAMO NARAIN,Sawai Madhopur,INC,0,Post Graduate,Rs 5234897 ,Rs 400000 
M. ANJAN KUMAR YADAV,Secunderabad,INC,0,12th Pass,Rs 4250700 ,Rs 810500 
NEETA PATERIYA,Seoni,BJP,0,Post Graduate,Rs 3239103 ,Rs 41965 
Santasri Chatterjee,Serampore,CPM,0,Graduate,Rs 1698395 ,Rs 0 
ILIYAS AZMI,Shahabad,BSP,0,Graduate,Rs 19683626 ,Rs 0 
DALPAT SINGH PARASTE,Shahdol,BJP,0,Graduate,Rs 6811000 ,Rs 0 
KUNWAR JITIN PRASAD,Shahjahanpur,INC,0,Post Graduate,Rs 17113691 ,Rs 652823 
THAWAR  CHAND GEHLOT,Shajapur,BJP,0,Graduate,Rs 2016554 ,Rs 0 
SITARAM SINGH,Sheohar,RJD,0,Graduate,Rs 4624000 ,Rs 0 
PATY RIPPLE KYNDIAH,Shillong,INC,0,Graduate,Rs 4078978 ,Rs 0 
S. BANGARAPPA,Shimoga,BJP, 2 ,Graduate,Rs 33302318 ,Rs 8298000 
DESHMUKH SUBHASH SURESHCHANDRA,Sholapur,BJP,0,10th Pass,Rs 37495282 ,Rs 64522 
SARVEY SATHYANARAYANA,Siddipet,INC,0,Graduate Professional,Rs 1110000 ,Rs 480000 
CHANDRAPRATAP SINGH,Sidhi,BJP,0,12th Pass,Rs 795619 ,Rs 126764 
SUBHASH MEHARIA,Sikar,BJP,0,Graduate,Rs 13267020 ,Rs 534287 
NAKUL DAS RAI,Sikkim,SDF,0,Graduate,Rs 6890766 ,Rs 1494475 
SONTOSH MOHAN DEV,Silchar,INC,0,Graduate,Rs 12356601 ,Rs 170759 
DHANI RAM SHANDIL,Simla,INC,0,Doctorate,Rs 9272958 ,Rs 958 
BAGUN SUMBRAI,Singhbhum,INC,0,10th Pass,Rs 4532035 ,Rs 200000 
ATMA SINGH GILL,Sirsa,INC,0,5th Pass,Rs 1302714 ,Rs 280000 
SITARAM YADAV,Sitamarhi,RJD, 2 ,Graduate Professional,Rs 4805008 ,Rs 404410 
RAJESH VERMA,Sitapur,BSP,0,Post Graduate,Rs 4850000 ,Rs 1004319 
CHIDAMBARAM P.,Sivaganga,INC,0,Post Graduate,Rs 179861587 ,Rs 0 
RAVICHANDRAN A,Sivakasi,MDMK,0,Graduate,Rs 3058910 ,Rs 0 
MOHAMMAD SHAHABUDDIN,Siwan,RJD, 19 ,Doctorate,Rs 3447000 ,Rs 428930 
KISHAN SINGH SANGWAN,Sonepat,BJP,0,Post Graduate,Rs 7777238 ,Rs 847138 
VIJAY KUMAR MALHOTRA,South Delhi,BJP,0,Doctorate,Rs 8988478 ,Rs 0 
OMAR ABDULLAH,Srinagar,JKN,0,Graduate,Rs 19684236 ,Rs 54998 
KRISHNASWAMY. A,Sriperumbudur,DMK, 2 ,Graduate Professional,Rs 2214854 ,Rs 0 
MOHD. TAHIR,Sultanpur,BSP, 1 ,12th Pass,Rs 116697 ,Rs 0 
JUAL ORAM,Sundargarh,BJP, 3 ,10th Pass,Rs 5746675 ,Rs 800000 
KASHIRAM RANA,Surat,BJP,0,Graduate Professional,Rs 7677857 ,Rs 0 
NAND KUMAR SAI,Surguja,BJP, 1 ,Post Graduate,Rs 3124000 ,Rs 610000 
Seth Lakshman Chandra,Tamluk,CPM,0,Post Graduate,Rs 887175 ,Rs 0 
RATTAN SINGH,Tarn Taran,SAD, 1 ,Graduate Professional,Rs 29516341 ,Rs 0 
MANABENDRA SHAH,Tehri Garhwal,BJP,0,12th Pass,Rs 347563683 ,Rs 0 
BALASHOWRY VALLABHANENI,Tenali,INC,0,Graduate,Rs 103238914 ,Rs 350000 
APPADURAI M.,Tenkasi,CPI,0,Graduate,Rs 1263017 ,Rs 0 
MONI KUMAR SUBBA,Tezpur,INC,0,8th Pass,Rs 186443565 ,Rs 0 
PARANJAPE PRAKASH VISHVANATH,Thane,SHS,0,Graduate,Rs 5905573 ,Rs 1382266 
PALANIMANICKAM. S. S.,Thanjavur,DMK,0,Graduate Professional,Rs 3516998 ,Rs 535689 
DHANARAJU. K,Tindivanam,PMK,0,Doctorate,Rs 2658860 ,Rs 0 
SUBBULAKSHMI JAGADEESAN,Tiruchengode,DMK,0,Graduate Professional,Rs 8734674 ,Rs 0 
GANESAN. L,Tiruchirappalli,MDMK, 2 ,Graduate Professional,Rs 1900000 ,Rs 0 
DHANUSKODI ATHITHAN R.,Tirunelveli,INC, 1 ,Post Graduate,Rs 16322132 ,Rs 5573213 
CHINTA MOHAN,Tirupathi,INC,0,Graduate Professional,Rs 3982900 ,Rs 1325256 
VENUGOPAL D.,Tiruppattur,DMK,0,8th Pass,Rs 7685000 ,Rs 994803 
KAILASH MEGHWAL,Tonk,BJP,0,Post Graduate,Rs 10950282 ,Rs 0 
C. K. CHANDRAPPAN,Trichur,CPI,0,Graduate,Rs 8812606 ,Rs 0 
BAJU BAN RIYAN,Tripura East,CPM,0,Graduate,Rs 1188586 ,Rs 0 
KHAGEN DAS,Tripura West,CPM,0,Post Graduate,Rs 1423083 ,Rs 0 
S. MALLIKARJUNAIAH,Tumkur,BJP,0,Post Graduate,Rs 9090000 ,Rs 40000 
PURANO AGITOK SANGMA,Tura,AITC,0,Post Graduate,Rs 35032125 ,Rs 0 
CH. LAL SINGH,Udhampur,INC,0,Graduate,Rs 5400000 ,Rs 500000 
MANORAMA MADHWARAJ,Udupi,BJP,0,Graduate,Rs 13751985 ,Rs 2700000 
DR. SATYANARAYAN JATIYA,Ujjain,BJP,0,Doctorate,Rs 2794387 ,Rs 0 
Hannan Mollah,Uluberia,CPM,0,Post Graduate,Rs 621879 ,Rs 0 
BRAJESH PATHAK,Unnao,BSP, 4 ,Graduate Professional,Rs 2776872 ,Rs 5222 
RAGHUBANSH PRASAD SINGH,Vaishali,RJD,0,Doctorate,Rs 4871420 ,Rs 481535 
DR. RAJESH KUMAR MISHRA,Varanasi,INC,0,Not Given,Rs 1241800 ,Rs 400000 
KADER MOHIDEEN K. M,Vellore,DMK,0,Post Graduate,Rs 2800000 ,Rs 450000 
SHIVRAJ SINGH,Vidisha,BJP, 2 ,Post Graduate,Rs 5814600 ,Rs 287640 
JANARDHANA REDDY NEDURUMALLI,Visakhapatnam,INC,0,Graduate Professional,Rs 10916531 ,Rs 11212 
Susmita Bauri,Vishnupur,CPM,0,Graduate Professional,Rs 33000 ,Rs 10000 
WAGMARE SURESH GANAPAT,Wardha,BJP,0,Graduate,Rs 441000 ,Rs 447393 
GAWALI (PATIL) KU.  BHAVANA PUNDLIKRAO,Washim,SHS, 1 ,Graduate,Rs 18808750 ,Rs 748904 
RATHOD HARISING NASARU,Yavatmal,BJP,0,Graduate,Rs 3801000 ,Rs 945123 
