Candidate,Constituency,Party,Criminal Case(s),Education,Total Assets,Liabilities
VIJAY KRISHNA,Barh,RJD, 1 ,Post Graduate,Rs 5832524 ,Rs 27725 
MANVENDRA SINGH,Barmer,BJP,0,Post Graduate,Rs 4656839 ,Rs 73531 
A. F. GOLAM OSMANI,Barpeta,INC,0,Graduate Professional,Rs 1005000 ,Rs 0 
Tarit Baran Topdar,Barrackpore,CPM,0,Post Graduate,Rs 9453015 ,Rs 0 
Ajay Chakraborty,Basirhat,CPI,0,Graduate Professional,Rs 7218672 ,Rs 0 
BALIRAM KASHYAP,Bastar,BJP, 1 ,8th Pass,Rs 1865382 ,Rs 177442 
LAL MANI PRASAD,Basti,BSP,0,Graduate,Rs 1071480 ,Rs 0 
RAMSWAROOP KOLI,Bayana,BJP, 3 ,8th Pass,Rs 1053100 ,Rs 0 
RAJIV RANJAN SINGH,Begusarai,JD(U),0,Graduate,Rs 6746462 ,Rs 0 
ANGADI SURESH CHANABASAPPA,Belgaum,BJP,0,Graduate Professional,Rs 47466695 ,Rs 8852490 
G. KARUNAKARA REDDY,Bellary,BJP,0,Graduate,Rs 10930950 ,Rs 416228 
Adhir Ranjan Chowdhury,Berhampore,INC, 3 ,10th Pass,Rs 19395174 ,Rs 0 
CHANDRA SEKHAR SAHU,Berhampur,INC,0,Graduate Professional,Rs 1419000 ,Rs 0 
RAGHUNATH JHA,Bettiah,RJD, 2 ,12th Pass,Rs 11267189 ,Rs 0 
KHANDELWAL VIJAY KUMAR (MUNNI BHAIA),Betul,BJP,0,Graduate Professional,Rs 16507774 ,Rs 953983 
MIDIYAM BABU RAO,Bhadrachalam,CPM,0,Graduate Professional,Rs 542000 ,Rs 130000 
SUSHIL KUMAR MODI,Bhagalpur,BJP, 3 ,Post Graduate,Rs 3410312 ,Rs 935401 
PATLE SHISHUPAL NATTHU,Bhandara,BJP,0,Graduate Professional,Rs 1184050 ,Rs 12000 
VISHVENDRA SINGH,Bharatpur,BJP,0,12th Pass,Rs 87894237 ,Rs 525000 
PARAMJIT KAUR GULSHAN,Bhatinda,SAD,0,Post Graduate,Rs 6507661 ,Rs 0 
RANA RAJENDRASINH GHANASHYAMSINH (RAJUBHAI RANA),Bhavnagar,BJP,0,Graduate Professional,Rs 2350613 ,Rs 0 
VIJAYENDRAPAL SINGH,Bhilwara,BJP,0,Graduate,Rs 23765671 ,Rs 250000 
DR. RAMLAKHAN SINGH,Bhind,BJP, 1 ,Graduate Professional,Rs 5774939 ,Rs 284945 
KULDEEP BISHNOI,Bhiwani,INC,0,Graduate,Rs 143724090 ,Rs 21865304 
KAILASH JOSHI,Bhopal,BJP,0,10th Pass,Rs 2695080 ,Rs 0 
PRASANNA KUMAR PATASANI,Bhubaneswar,BJD,0,Post Graduate,Rs 4441581 ,Rs 0 
RAMCHANDRA VEERAPPA,Bidar,BJP,0,Literate,Rs 2480708 ,Rs 816000 
BASANAGOUDA R PATIL(YATNAL),Bijapur,BJP, 2 ,Graduate,Rs 5603503 ,Rs 1200000 
Munshiram S/o Sri Ramcharan Singh,Bijnor,RLD,0,Others,Rs 2942225 ,Rs 720000 
DHARMENDRA,Bikaner,BJP,0,12th Pass,Rs 230326000 ,Rs 5428225 
AJIT KUMAR SINGH,Bikramganj,JD(U),0,Post Graduate,Rs 14362110 ,Rs 0 
PUNNULAL MOHLE,Bilaspur,BJP,0,12th Pass,Rs 3727718 ,Rs 0 
RAJA RAM PAL,Bilhaur,BSP,0,Graduate Professional,Rs 1471113 ,Rs 200000 
Ram Chandra Dome,Birbhum,CPM,0,Doctorate,Rs 409541 ,Rs 2862 
KONDAPALLI PYDITHALLI NAIDU,Bobbili,TDP,0,Not Given,Rs 1979000 ,Rs 50000 
SANGEETA KUMARI SINGH DEO,Bolangir,BJP,0,Graduate,Rs 26899686 ,Rs 383762 
Chatterjee Somnath,Bolpur,CPM,0,Post Graduate,Rs 10551015 ,Rs 0 
VASAVA MANSUKHBHAI DHANJIBHAI,Broach,BJP,0,Post Graduate,Rs 1583619 ,Rs 0 
SALEEM IQBAL SHERVANI,Budaun,SP,0,Graduate,Rs 96980000 ,Rs 5940 
KALYAN SINGH,Bulandshahr,BJP,0,Graduate Professional,Rs 6209253 ,Rs 0 
ADSUL ANANDRAO VITHOBA,Buldhana,SHS, 2 ,Graduate,Rs 20630019 ,Rs 6111246 
KISHANBHAI VESTABHAI PATEL,Bulsar,INC, 2 ,10th Pass,Rs 279461 ,Rs 0 
Nikhilananda Sar,Burdwan,CPM,0,Graduate Professional,Rs 3431414 ,Rs 0 
LALMUNI CHAUBEY,Buxar,BJP,0,12th Pass,Rs 8431336 ,Rs 0 
Md. Salim,Calcutta North East,CPM,0,Post Graduate,Rs 3109485 ,Rs 0 
Mamata Banerjee,Calcutta South,AITC,0,Post Graduate,Rs 375489 ,Rs 0 
M. P. VEERENDRA KUMAR,Calicut,JD(S),0,Post Graduate,Rs 47621096 ,Rs 4654480 
SHAILENDRA KUMAR,Chail,SP,0,12th Pass,Rs 9337424 ,Rs 1092000 
M. SHIVANNA,Chamarajanagar,JD(S), 1 ,Graduate,Rs 942100 ,Rs 10000 
KAILASH NATH SINGH YADAV,Chandauli,BSP,0,Graduate,Rs 5843089 ,Rs 0 
PAWAN KUMAR BANSAL,Chandigarh,INC,0,Graduate Professional,Rs 17550052 ,Rs 0 
KAPIL SIBAL,Chandni Chowk,INC,0,Post Graduate,Rs 158850000 ,Rs 0 
AHIR HANSRAJ GANGARAM,Chandrapur,BJP, 16 ,10th Pass,Rs 2653960 ,Rs 0 
LALU PRASAD,Chapra,RJD, 7 ,Graduate Professional,Rs 8768342 ,Rs 22041400 
DHIRENDRA AGARWAL,Chatra,RJD, 1 ,Doctorate,Rs 28085948 ,Rs 750000 
MOORTHY A.K.,Chengalpattu,PMK,0,Post Graduate,Rs 3696741 ,Rs 369957 
KAMALNATH,Chhindwara,INC,0,Graduate,Rs 51839379 ,Rs 0 
NARANBHAI  RATHWA,Chhota Udaipur,INC,0,Post Graduate,Rs 2793000 ,Rs 271125 
PONNUSWAMY E.,Chidambaram,PMK,0,Post Graduate,Rs 420000 ,Rs 318534 
R.L. JALAPPA,Chikballapur,INC,0,Graduate,Rs 40239308 ,Rs 105000 
JIGAJINAGI RAMESH CHANDAPPA,Chikkodi,BJP,0,Graduate,Rs 5480600 ,Rs 75000 
D. C. SRIKANTAPPA,Chikmagalur,BJP,0,10th Pass,Rs 6069785 ,Rs 0 
SHIVANKAR MAHADEORAO SUKAJI,Chimur,BJP,0,Post Graduate,Rs 4412847 ,Rs 197913 
VARKALA RADHAKRISHNAN,Chirayinkil,CPM,0,Graduate Professional,Rs 756621 ,Rs 0 
N.Y. HANUMANTHAPPA,Chitradurga,INC,0,Post Graduate,Rs 6250000 ,Rs 0 
D.K. AUDIKESAVULU,Chittoor,TDP,0,Not Given,Rs 670576468 ,Rs 0 
SHRICHAND KRIPLANI,Chittorgarh,BJP,0,Not Given,Rs 2448887 ,Rs 0 
RAMSINGH KASWAN,Churu,BJP,0,Graduate Professional,Rs 13198438 ,Rs 208154 
Prasanta Pradhan,Contai,CPM,0,Post Graduate,Rs 1410752 ,Rs 15000 
Hiten Barman,Cooch Behar,AIFB,0,12th Pass,Rs 546676 ,Rs 279146 
VENKATAPATHY. K,Cuddalore,DMK, 5 ,Graduate Professional,Rs 3617839 ,Rs 0 
Y.S. VIVEKANANDA REDDY,Cuddapah,INC,0,Graduate,Rs 36227380 ,Rs 0 
BHARTRUHARI MAHTAB,Cuttack,BJD,0,Post Graduate,Rs 17843407 ,Rs 169357 
DELKAR MOHANBHAI SANJIBHAI,Dadra & Nagar Haveli,BNP,0,12th Pass,Rs 28619160 ,Rs 1296271 
SHINGADA DAMODAR BARKU,Dahanu,INC,0,10th Pass,Rs 8657109 ,Rs 0 
PATEL DAHYABHAI VALLABHBHAI,Daman And Diu,INC, 1 ,12th Pass,Rs 54787351 ,Rs 6640008 
CHANDRABHAN BHAIYA,Damoh,BJP,0,8th Pass,Rs 10348557 ,Rs 325874 
